Customer ID,PL_P,CC_P,HL_P,SA_P,RD_P,MF_P,Month period
CUST1000024,0.0332,0.3614,0.01,0.2534,0.2441,0.238,2026-06
CUST1000025,0.492,0.6452,0.3725,0.1742,0.2799,0.3771,2026-06
CUST1000026,0.3451,0.4107,0.4767,0.3642,0.4345,0.534,2026-06
CUST1000027,0.1935,0.1619,0.3183,0.0832,0.3332,0.0861,2026-06
CUST1000028,0.3184,0.5583,0.4426,0.1331,0.287,0.4573,2026-06
CUST1000029,0.2991,0.6546,0.278,0.2079,0.2781,0.3776,2026-06
CUST1000030,0.2929,0.3103,0.3499,0.2283,0.569,0.1946,2026-06
CUST1000031,0.5312,0.4834,0.3516,0.1675,0.3069,0.7478,2026-06
CUST1000032,0.3968,0.5752,0.4586,0.5069,0.2546,0.1983,2026-06
CUST1000033,0.2771,0.4197,0.4696,0.1678,0.4421,0.3374,2026-06
CUST1000034,0.2877,0.2576,0.3491,0.2075,0.3816,0.3179,2026-06
CUST1000035,0.4607,0.5971,0.2529,0.1607,0.3297,0.2738,2026-06
CUST1000036,0.2876,0.3819,0.367,0.05,0.2282,0.0537,2026-06
CUST1000037,0.2095,0.1586,0.2314,0.2722,0.4414,0.1574,2026-06
CUST1000038,0.2493,0.4999,0.4886,0.2092,0.3314,0.4226,2026-06
CUST1000039,0.3786,0.3925,0.6063,0.1823,0.4357,0.5558999999999999,2026-06
CUST1000040,0.4964,0.5422,0.2426,0.3104,0.4458,0.5286999999999999,2026-06
CUST1000041,0.4338,0.6937,0.2276,0.2436,0.1621,0.5918,2026-06
CUST1000042,0.4926,0.5944,0.2322,0.2151,0.3358,0.6133,2026-06
CUST1000043,0.3456,0.0641,0.3207,0.2317,0.2221,0.2722,2026-06
CUST1000044,0.4045,0.3589,0.3929,0.1266,0.4366,0.284,2026-06
CUST1000045,0.5862000000000001,0.398,0.3623,0.2145,0.3687,0.0635,2026-06
CUST1000046,0.1728,0.5141,0.1133,0.2241,0.1339,0.3959,2026-06
CUST1000047,0.3387,0.412,0.4815,0.01,0.4708,0.6216,2026-06
CUST1000048,0.3156,0.162,0.2946,0.1694,0.3993,0.2386,2026-06
CUST1000049,0.5394,0.3552,0.0961,0.2863,0.6448,0.5382,2026-06
CUST1000050,0.2948,0.2513,0.1583,0.2366,0.4992,0.01,2026-06
CUST1000051,0.4312,0.6455,0.0764,0.0876,0.1909,0.243,2026-06
CUST1000052,0.4668,0.3755,0.4723,0.1329,0.3951,0.1196,2026-06
CUST1000053,0.4909,0.5354,0.0257,0.1579,0.2083,0.1428,2026-06
CUST1000054,0.015,0.2033,0.0379,0.1441,0.4299,0.118,2026-06
CUST1000055,0.2271,0.4501,0.4859,0.09030000000000001,0.4335,0.3831,2026-06
CUST1000056,0.4033,0.4116,0.3736,0.0919,0.4008,0.6234,2026-06
CUST1000057,0.5625,0.5137,0.01,0.2292,0.1944,0.202,2026-06
CUST1000058,0.5351,0.64,0.387,0.1673,0.4247,0.3835,2026-06
CUST1000059,0.3862,0.4875,0.3242,0.1723,0.2381,0.2841,2026-06
CUST1000060,0.6284,0.6309,0.01,0.1842,0.2173,0.2487,2026-06
CUST1000061,0.3566,0.3876,0.4648,0.09180000000000001,0.356,0.399,2026-06
CUST1000062,0.5111,0.5253,0.4663,0.1209,0.3291,0.4638,2026-06
CUST1000063,0.2187,0.2263,0.315,0.1583,0.3887,0.09429999999999999,2026-06
CUST1000064,0.2946,0.5384,0.3939,0.1803,0.3792,0.4137,2026-06
CUST1000065,0.1434,0.6528,0.07439999999999999,0.4513,0.2421,0.7534,2026-06
CUST1000066,0.3779,0.3585,0.3766,0.1674,0.339,0.6768999999999999,2026-06
CUST1000067,0.4434,0.5367,0.4681,0.1546,0.3438,0.4956,2026-06
CUST1000068,0.2968,0.497,0.3296,0.2029,0.5427999999999999,0.4659,2026-06
CUST1000069,0.1651,0.437,0.6365,0.2019,0.4261,0.7073,2026-06
CUST1000070,0.4903,0.6731,0.3306,0.2606,0.2546,0.4353,2026-06
CUST1000071,0.2948,0.4003,0.5016,0.1541,0.3888,0.5633,2026-06
CUST1000072,0.4002,0.6747,0.2771,0.1892,0.4674,0.3402,2026-06
CUST1000073,0.4139,0.489,0.3332,0.1479,0.3591,0.6923,2026-06
CUST1000074,0.3886,0.2673,0.0405,0.2581,0.2854,0.1112,2026-06
CUST1000075,0.5935,0.3581,0.3635,0.01,0.4708,0.2766,2026-06
CUST1000076,0.4088,0.4381,0.465,0.0636,0.5029,0.5266,2026-06
CUST1000077,0.2945,0.5338000000000001,0.3357,0.0454,0.3132,0.6758,2026-06
CUST1000078,0.6085,0.6917,0.4272,0.1271,0.5909,0.4464,2026-06
CUST1000079,0.3807,0.762,0.1397,0.259,0.257,0.3529,2026-06
CUST1000080,0.2498,0.5548999999999999,0.1048,0.1837,0.3569,0.4631,2026-06
CUST1000081,0.2881,0.3479,0.1605,0.08110000000000001,0.2026,0.2076,2026-06
CUST1000082,0.2723,0.1748,0.1159,0.1242,0.3327,0.3115,2026-06
CUST1000083,0.3133,0.5658,0.2457,0.2932,0.2239,0.347,2026-06
CUST1000084,0.5054999999999999,0.3399,0.2439,0.2363,0.4928,0.3219,2026-06
CUST1000085,0.2845,0.4766,0.127,0.3009,0.3318,0.0761,2026-06
CUST1000086,0.2515,0.5132,0.044,0.2488,0.3585,0.2397,2026-06
CUST1000087,0.2936,0.537,0.2922,0.2006,0.205,0.3539,2026-06
CUST1000088,0.3619,0.7483,0.4086,0.1671,0.3491,0.4269,2026-06
CUST1000089,0.2825,0.4947,0.513,0.1354,0.3825,0.3906,2026-06
CUST1000090,0.5143,0.2361,0.5658,0.1239,0.3514,0.4018,2026-06
CUST1000091,0.3571,0.385,0.496,0.1976,0.342,0.6343,2026-06
CUST1000092,0.2696,0.1023,0.2541,0.1375,0.4464,0.1379,2026-06
CUST1000093,0.6353,0.4592,0.4481,0.1312,0.4464,0.4653,2026-06
CUST1000094,0.5635,0.269,0.4975,0.1759,0.2075,0.2426,2026-06
CUST1000095,0.1223,0.5738,0.2298,0.1412,0.1887,0.3257,2026-06
CUST1000096,0.554,0.2604,0.2169,0.07870000000000001,0.2781,0.2578,2026-06
CUST1000097,0.6083,0.5008,0.3978,0.3107,0.4335,0.2839,2026-06
CUST1000098,0.3529,0.6089,0.1742,0.1618,0.1347,0.4706,2026-06
CUST1000099,0.2786,0.4081,0.2389,0.1048,0.5591,0.4081,2026-06
CUST1000100,0.6004,0.6764,0.2772,0.1518,0.3349,0.3533,2026-06
CUST1000101,0.1997,0.2131,0.2275,0.6805,0.2344,0.0697,2026-06
CUST1000102,0.4389,0.5102,0.4104,0.0848,0.3236,0.5421,2026-06
CUST1000103,0.3252,0.2392,0.3729,0.175,0.3268,0.6223,2026-06
CUST1000104,0.2986,0.4648,0.1478,0.1229,0.5372,0.4746,2026-06
CUST1000105,0.5125,0.3831,0.5026,0.1882,0.3791,0.2233,2026-06
CUST1000106,0.5112,0.4055,0.4418,0.1285,0.4827,0.5238,2026-06
CUST1000107,0.3043,0.5782,0.3357,0.2173,0.4566,0.3773,2026-06
CUST1000108,0.4041,0.552,0.06660000000000001,0.3027,0.1878,0.143,2026-06
CUST1000109,0.2536,0.6087,0.2542,0.6635,0.152,0.3052,2026-06
CUST1000110,0.4988,0.2449,0.2069,0.1499,0.4268,0.3598,2026-06
CUST1000111,0.466,0.548,0.3025,0.181,0.4243,0.6067,2026-06
CUST1000112,0.3501,0.4279,0.1623,0.3154,0.46,0.3048,2026-06
CUST1000113,0.3904,0.5361,0.1742,0.1694,0.5419,0.3724,2026-06
CUST1000114,0.2368,0.3256,0.1553,0.2421,0.3684,0.6306,2026-06
CUST1000115,0.4366,0.4389,0.4781,0.106,0.2683,0.3068,2026-06
CUST1000116,0.0761,0.233,0.01,0.2203,0.4071,0.2083,2026-06
CUST1000117,0.5614,0.4952,0.3197,0.1602,0.3797,0.486,2026-06
CUST1000118,0.2544,0.07920000000000001,0.3251,0.153,0.3261,0.2401,2026-06
CUST1000119,0.3697,0.6938,0.3735,0.1346,0.2914,0.5179,2026-06
CUST1000120,0.4086,0.1544,0.0526,0.2109,0.2786,0.3297,2026-06
CUST1000121,0.3583,0.5202,0.5953000000000001,0.2366,0.2199,0.4111,2026-06
CUST1000122,0.3425,0.1998,0.1567,0.5851,0.1432,0.5411,2026-06
CUST1000123,0.1499,0.08119999999999999,0.2078,0.2705,0.4066,0.1912,2026-06
CUST1000124,0.23,0.2219,0.1751,0.2621,0.4855,0.1491,2026-06
CUST1000125,0.2239,0.5382,0.2276,0.2524,0.2207,0.3657,2026-06
CUST1000126,0.4526,0.4533,0.0462,0.3863,0.2633,0.1265,2026-06
CUST1000127,0.4144,0.2893,0.306,0.2193,0.5245,0.1727,2026-06
CUST1000128,0.4353,0.5952,0.3009,0.1693,0.3328,0.311,2026-06
CUST1000129,0.4165,0.6722,0.5298,0.0949,0.1333,0.3117,2026-06
CUST1000130,0.5275,0.5759,0.2654,0.0144,0.6136,0.5137,2026-06
CUST1000131,0.5112,0.3073,0.5573,0.089,0.2966,0.5423,2026-06
CUST1000132,0.3102,0.6598000000000001,0.3135,0.1204,0.231,0.4914,2026-06
CUST1000133,0.254,0.3341,0.0396,0.2257,0.3826,0.4619,2026-06
CUST1000134,0.3493,0.5753,0.2825,0.0902,0.2469,0.5127,2026-06
CUST1000135,0.5135999999999999,0.5282,0.481,0.1906,0.2162,0.4831,2026-06
CUST1000136,0.2968,0.4455,0.4723,0.0762,0.2507,0.4217,2026-06
CUST1000137,0.2434,0.3539,0.333,0.1219,0.4307,0.513,2026-06
CUST1000138,0.1082,0.3605,0.4409,0.2558,0.3552,0.3406,2026-06
CUST1000139,0.3696,0.2574,0.3685,0.0432,0.4774,0.3885,2026-06
CUST1000140,0.1224,0.3642,0.5051,0.1203,0.3936,0.4657,2026-06
CUST1000141,0.4441,0.2698,0.0426,0.5322,0.4497,0.1566,2026-06
CUST1000142,0.2425,0.5387,0.5362,0.1107,0.4622,0.4973,2026-06
CUST1000143,0.4112,0.1342,0.4838,0.1458,0.2924,0.4947,2026-06
CUST1000144,0.3735,0.4362,0.5335,0.2902,0.4237,0.6382,2026-06
CUST1000145,0.4018,0.5154,0.3349,0.6026,0.3886,0.4215,2026-06
CUST1000146,0.3885,0.4314,0.3773,0.1484,0.3287,0.302,2026-06
CUST1000147,0.3451,0.3837,0.4764,0.2172,0.3202,0.428,2026-06
CUST1000148,0.6088,0.4703,0.2423,0.102,0.4021,0.1255,2026-06
CUST1000149,0.2718,0.2438,0.1468,0.0302,0.285,0.144,2026-06
CUST1000150,0.2085,0.1716,0.204,0.2545,0.1866,0.0416,2026-06
CUST1000151,0.6083,0.6909999999999999,0.4143,0.2001,0.2638,0.3923,2026-06
CUST1000152,0.3583,0.4135,0.3747,0.2509,0.3522,0.4951,2026-06
CUST1000153,0.3427,0.4955,0.3952,0.1652,0.2535,0.339,2026-06
CUST1000154,0.645,0.3539,0.6341,0.2179,0.368,0.5262,2026-06
CUST1000155,0.5597,0.7655,0.2511,0.2259,0.3159,0.4324,2026-06
CUST1000156,0.5149,0.5861,0.4385,0.17,0.3341,0.2777,2026-06
CUST1000157,0.1694,0.6299,0.2379,0.1766,0.2214,0.2929,2026-06
CUST1000158,0.425,0.31,0.307,0.2157,0.3462,0.2576,2026-06
CUST1000159,0.2969,0.4139,0.01,0.2391,0.534,0.2547,2026-06
CUST1000160,0.4427,0.4337,0.3215,0.2507,0.3219,0.5709,2026-06
CUST1000161,0.332,0.4491,0.01,0.2176,0.3289,0.0287,2026-06
CUST1000162,0.4017,0.5704,0.2153,0.08309999999999999,0.371,0.4375,2026-06
CUST1000163,0.4697,0.5544,0.5729,0.1473,0.5975,0.3631,2026-06
CUST1000164,0.4697,0.5531,0.3307,0.1837,0.395,0.4953,2026-06
CUST1000165,0.3728,0.3291,0.387,0.2161,0.4151,0.3794,2026-06
CUST1000166,0.1817,0.5770999999999999,0.2849,0.3123,0.2938,0.4508,2026-06
CUST1000167,0.2432,0.3792,0.111,0.1821,0.3698,0.1102,2026-06
CUST1000168,0.3708,0.1872,0.4005,0.0949,0.3428,0.1979,2026-06
CUST1000169,0.3841,0.3372,0.5291,0.1736,0.2092,0.6032,2026-06
CUST1000170,0.4264,0.5857,0.4314,0.2058,0.4938,0.3919,2026-06
CUST1000171,0.2802,0.3435,0.4707,0.2155,0.301,0.4133,2026-06
CUST1000172,0.4552,0.6069,0.2828,0.1295,0.1703,0.2617,2026-06
CUST1000173,0.4531,0.5508999999999999,0.4335,0.2611,0.4162,0.1458,2026-06
CUST1000174,0.2456,0.3679,0.4749,0.195,0.3483,0.4351,2026-06
CUST1000175,0.2816,0.3958,0.441,0.2608,0.3298,0.6061,2026-06
CUST1000176,0.4517,0.4113,0.1748,0.1672,0.5696,0.5256999999999999,2026-06
CUST1000177,0.1952,0.3191,0.4375,0.2833,0.2965,0.3844,2026-06
CUST1000178,0.2757,0.4574,0.2796,0.6467000000000001,0.5315,0.3201,2026-06
CUST1000179,0.0859,0.4475,0.2036,0.1979,0.6397,0.2804,2026-06
CUST1000180,0.3745,0.2856,0.2261,0.2456,0.3137,0.1234,2026-06
CUST1000181,0.5462,0.6467000000000001,0.4382,0.1424,0.3728,0.5316,2026-06
CUST1000182,0.2567,0.4022,0.2402,0.2521,0.3144,0.3077,2026-06
CUST1000183,0.4609,0.466,0.3671,0.1955,0.3446,0.5626,2026-06
CUST1000184,0.1953,0.1651,0.1893,0.1957,0.3167,0.1444,2026-06
CUST1000185,0.2293,0.345,0.2813,0.1839,0.3984,0.207,2026-06
CUST1000186,0.4023,0.1728,0.1359,0.1332,0.432,0.3048,2026-06
CUST1000187,0.3013,0.4819,0.2633,0.1648,0.159,0.3656,2026-06
CUST1000188,0.4415,0.2462,0.3546,0.2502,0.3762,0.3017,2026-06
CUST1000189,0.2359,0.2489,0.01,0.1722,0.3488,0.0905,2026-06
CUST1000190,0.2192,0.38,0.5439000000000001,0.2849,0.3092,0.5337,2026-06
CUST1000191,0.247,0.089,0.2731,0.2153,0.3717,0.1225,2026-06
CUST1000192,0.3453,0.376,0.3341,0.08699999999999999,0.4099,0.5641,2026-06
CUST1000193,0.3492,0.4385,0.5356,0.1443,0.3155,0.342,2026-06
CUST1000194,0.2026,0.4501,0.4395,0.059,0.3093,0.395,2026-06
CUST1000195,0.379,0.4411,0.2395,0.2934,0.2009,0.2388,2026-06
CUST1000196,0.3488,0.1058,0.3727,0.0834,0.3778,0.081,2026-06
CUST1000197,0.6192,0.6643,0.3255,0.1786,0.3048,0.2865,2026-06
CUST1000198,0.0871,0.1951,0.333,0.1461,0.5102,0.079,2026-06
CUST1000199,0.3122,0.3132,0.1749,0.2097,0.3469,0.3442,2026-06
CUST1000200,0.1919,0.5397,0.4088,0.0254,0.3856,0.3159,2026-06
CUST1000201,0.3067,0.3378,0.4267,0.125,0.3962,0.5901,2026-06
CUST1000202,0.3918,0.4516,0.2836,0.1762,0.5135999999999999,0.377,2026-06
CUST1000203,0.257,0.4779,0.2342,0.1277,0.3388,0.3106,2026-06
CUST1000204,0.5531,0.3928,0.4702,0.2279,0.2741,0.3391,2026-06
CUST1000205,0.3236,0.3683,0.1851,0.1519,0.4023,0.1576,2026-06
CUST1000206,0.2867,0.458,0.5215,0.1148,0.3639,0.4699,2026-06
CUST1000207,0.274,0.4656,0.3879,0.1479,0.3781,0.3401,2026-06
CUST1000208,0.183,0.4106,0.44,0.1952,0.2999,0.3703,2026-06
CUST1000209,0.1533,0.3028,0.0806,0.166,0.295,0.4213,2026-06
CUST1000210,0.5562,0.4979,0.362,0.1396,0.2806,0.2424,2026-06
CUST1000211,0.3511,0.5774,0.5476,0.2226,0.258,0.4538,2026-06
CUST1000212,0.525,0.485,0.2568,0.1288,0.3596,0.1939,2026-06
CUST1000213,0.2867,0.4528,0.298,0.144,0.3956,0.4675,2026-06
CUST1000214,0.2667,0.4676,0.524,0.2196,0.4044,0.5458,2026-06
CUST1000215,0.4261,0.3274,0.4069,0.2418,0.2348,0.3961,2026-06
CUST1000216,0.0915,0.235,0.0634,0.1509,0.3749,0.0559,2026-06
CUST1000217,0.4371,0.7183,0.3679,0.0392,0.3817,0.5305,2026-06
CUST1000218,0.3874,0.7551,0.3035,0.01,0.3867,0.6274,2026-06
CUST1000219,0.0463,0.4933,0.2778,0.1499,0.383,0.2861,2026-06
CUST1000220,0.2395,0.2588,0.0456,0.1412,0.4482,0.1562,2026-06
CUST1000221,0.4256,0.4363,0.01,0.58,0.1365,0.039,2026-06
CUST1000222,0.3242,0.157,0.095,0.2048,0.2107,0.234,2026-06
CUST1000223,0.216,0.3806,0.1946,0.5203,0.1823,0.2969,2026-06
CUST1000224,0.2849,0.039,0.09,0.1878,0.2934,0.2037,2026-06
CUST1000225,0.1571,0.1247,0.2642,0.2291,0.5312,0.2502,2026-06
CUST1000226,0.2622,0.3464,0.1546,0.2339,0.2131,0.1614,2026-06
CUST1000227,0.4159,0.662,0.1838,0.0939,0.3537,0.2725,2026-06
CUST1000228,0.2536,0.2549,0.4892,0.2135,0.3804,0.6807,2026-06
CUST1000229,0.1726,0.4554,0.5012,0.1187,0.4086,0.3851,2026-06
CUST1000230,0.199,0.3543,0.4371,0.1357,0.4773,0.452,2026-06
CUST1000231,0.5877,0.5687,0.0927,0.2628,0.2007,0.301,2026-06
CUST1000232,0.2521,0.09619999999999999,0.268,0.3334,0.2743,0.081,2026-06
CUST1000233,0.3369,0.5818,0.2863,0.0614,0.1759,0.3028,2026-06
CUST1000234,0.3312,0.1989,0.2095,0.0615,0.2615,0.08749999999999999,2026-06
CUST1000235,0.1627,0.4111,0.01,0.1866,0.2659,0.3262,2026-06
CUST1000236,0.378,0.1159,0.3151,0.0814,0.157,0.1301,2026-06
CUST1000237,0.4483,0.4237,0.3501,0.5476,0.2993,0.6007,2026-06
CUST1000238,0.5789,0.5468,0.3303,0.5346,0.3565,0.1845,2026-06
CUST1000239,0.3454,0.2406,0.4192,0.1735,0.4161,0.433,2026-06
CUST1000240,0.4092,0.0955,0.2802,0.1422,0.5521,0.1204,2026-06
CUST1000241,0.2553,0.3921,0.4588,0.116,0.3281,0.6844,2026-06
CUST1000242,0.6505,0.4438,0.3786,0.1799,0.4788,0.4942,2026-06
CUST1000243,0.5676,0.3647,0.3589,0.1063,0.4807,0.1465,2026-06
CUST1000244,0.3074,0.4121,0.4296,0.1654,0.5121,0.4466,2026-06
CUST1000245,0.3534,0.4012,0.2295,0.2697,0.6345,0.5163,2026-06
CUST1000246,0.4832,0.5139,0.3792,0.1524,0.2849,0.5978,2026-06
CUST1000247,0.445,0.4335,0.4031,0.231,0.4468,0.4603,2026-06
CUST1000248,0.5854,0.6865,0.1397,0.2632,0.4412,0.4634,2026-06
CUST1000249,0.5973000000000001,0.2244,0.1627,0.0165,0.6448,0.0814,2026-06
CUST1000250,0.2435,0.7223000000000001,0.2748,0.3609,0.3658,0.3415,2026-06
CUST1000251,0.174,0.5473,0.0979,0.1465,0.3805,0.4704,2026-06
CUST1000252,0.5345,0.6398,0.3788,0.1571,0.3629,0.5659999999999999,2026-06
CUST1000253,0.4197,0.75,0.3595,0.2432,0.2195,0.553,2026-06
CUST1000254,0.3203,0.3067,0.0102,0.01,0.6005,0.5007,2026-06
CUST1000255,0.3902,0.6344,0.1733,0.1659,0.3807,0.2491,2026-06
CUST1000256,0.4336,0.4487,0.2049,0.0664,0.3157,0.3753,2026-06
CUST1000257,0.5702,0.4746,0.4152,0.1258,0.4392,0.3839,2026-06
CUST1000258,0.0934,0.3449,0.2655,0.2724,0.2446,0.2258,2026-06
CUST1000259,0.5266999999999999,0.7366,0.3043,0.2193,0.4547,0.321,2026-06
CUST1000260,0.1963,0.5153,0.3418,0.2025,0.2297,0.4696,2026-06
CUST1000261,0.09810000000000001,0.6903,0.4517,0.1641,0.3378,0.7848000000000001,2026-06
CUST1000262,0.3362,0.3097,0.5353,0.2176,0.4308,0.3254,2026-06
CUST1000263,0.208,0.2344,0.3862,0.1665,0.5397,0.1126,2026-06
CUST1000264,0.3603,0.515,0.2624,0.1619,0.3022,0.0401,2026-06
CUST1000265,0.4018,0.4813,0.01,0.1648,0.4809,0.2018,2026-06
CUST1000266,0.5469000000000001,0.5466,0.3781,0.1734,0.2485,0.5049,2026-06
CUST1000267,0.4408,0.3899,0.4787,0.3218,0.3012,0.3233,2026-06
CUST1000268,0.4061,0.4457,0.2602,0.112,0.3875,0.5558,2026-06
CUST1000269,0.5217000000000001,0.4593,0.4455,0.5331,0.3602,0.3848,2026-06
CUST1000270,0.5038,0.6682,0.242,0.3376,0.1666,0.4812,2026-06
CUST1000271,0.3402,0.2515,0.01,0.1451,0.5252,0.1313,2026-06
CUST1000272,0.01,0.3696,0.0161,0.1874,0.2272,0.0444,2026-06
CUST1000273,0.4377,0.4466,0.3117,0.225,0.3674,0.5338000000000001,2026-06
CUST1000274,0.4014,0.4118,0.3314,0.148,0.3061,0.4165,2026-06
CUST1000275,0.0832,0.6021,0.4516,0.3222,0.3,0.5033,2026-06
CUST1000276,0.5685,0.4137,0.314,0.1455,0.2628,0.3094,2026-06
CUST1000277,0.3809,0.4143,0.4246,0.1927,0.2417,0.4206,2026-06
CUST1000278,0.6306,0.5995,0.3202,0.1367,0.3547,0.3479,2026-06
CUST1000279,0.2997,0.7022,0.3003,0.0377,0.5256,0.3334,2026-06
CUST1000280,0.4719,0.4915,0.3739,0.2199,0.388,0.6239,2026-06
CUST1000281,0.156,0.3835,0.3036,0.1855,0.3477,0.6266,2026-06
CUST1000282,0.2255,0.5384,0.3718,0.2277,0.2652,0.2831,2026-06
CUST1000283,0.5435,0.4432,0.3075,0.2799,0.4425,0.5385,2026-06
CUST1000284,0.1912,0.202,0.3489,0.2947,0.4332,0.1963,2026-06
CUST1000285,0.3605,0.0983,0.276,0.0779,0.2432,0.1621,2026-06
CUST1000286,0.3663,0.601,0.4872,0.1771,0.2478,0.5079,2026-06
CUST1000287,0.5644,0.3951,0.6012,0.1339,0.1249,0.5043,2026-06
CUST1000288,0.2043,0.4235,0.4674,0.2764,0.3723,0.496,2026-06
CUST1000289,0.2772,0.5397999999999999,0.2664,0.2188,0.3186,0.518,2026-06
CUST1000290,0.3341,0.2855,0.139,0.1603,0.3644,0.1068,2026-06
CUST1000291,0.3417,0.3849,0.5368000000000001,0.01,0.2345,0.4277,2026-06
CUST1000292,0.4548,0.4027,0.1524,0.1627,0.448,0.3802,2026-06
CUST1000293,0.2327,0.2603,0.2827,0.1057,0.3668,0.529,2026-06
CUST1000294,0.5792,0.4694,0.4133,0.1841,0.3986,0.5284,2026-06
CUST1000295,0.4733,0.4704,0.2358,0.16,0.5119,0.7225,2026-06
CUST1000296,0.2793,0.7627,0.4727,0.0835,0.2283,0.4186,2026-06
CUST1000297,0.3493,0.1378,0.4221,0.1573,0.6326000000000001,0.3789,2026-06
CUST1000298,0.4636,0.3889,0.5217000000000001,0.0999,0.4174,0.5641,2026-06
CUST1000299,0.3437,0.6619,0.2567,0.226,0.4092,0.5342,2026-06
CUST1000300,0.4479,0.6656,0.4043,0.1169,0.1126,0.2498,2026-06
CUST1000301,0.467,0.5152,0.4652,0.1935,0.0399,0.6623,2026-06
CUST1000302,0.3066,0.5671,0.2363,0.0785,0.3137,0.351,2026-06
CUST1000303,0.4638,0.5587,0.2309,0.0522,0.4911,0.4914,2026-06
CUST1000304,0.0553,0.4077,0.0162,0.6443,0.0318,0.0862,2026-06
CUST1000305,0.1626,0.2023,0.3142,0.5968,0.2899,0.0314,2026-06
CUST1000306,0.5508999999999999,0.302,0.2099,0.0853,0.5936,0.2826,2026-06
CUST1000307,0.349,0.432,0.1864,0.2103,0.281,0.4898,2026-06
CUST1000308,0.3576,0.3548,0.219,0.238,0.2827,0.3931,2026-06
CUST1000309,0.4874,0.7493,0.4732,0.0701,0.2801,0.4524,2026-06
CUST1000310,0.2632,0.3473,0.4583,0.2841,0.4228,0.586,2026-06
CUST1000311,0.06859999999999999,0.2465,0.01,0.195,0.173,0.2982,2026-06
CUST1000312,0.2652,0.4985,0.189,0.2761,0.1677,0.3367,2026-06
CUST1000313,0.2594,0.2002,0.1135,0.1938,0.2275,0.1969,2026-06
CUST1000314,0.0924,0.6898,0.2324,0.2254,0.5379,0.4926,2026-06
CUST1000315,0.5044999999999999,0.3828,0.4999,0.1035,0.2125,0.2964,2026-06
CUST1000316,0.1021,0.198,0.3773,0.2808,0.2301,0.1723,2026-06
CUST1000317,0.3031,0.226,0.1515,0.347,0.3051,0.2498,2026-06
CUST1000318,0.3945,0.2858,0.0424,0.154,0.4999,0.1667,2026-06
CUST1000319,0.5218,0.5579,0.3939,0.1664,0.1709,0.455,2026-06
CUST1000320,0.0907,0.3111,0.1034,0.1365,0.3616,0.08359999999999999,2026-06
CUST1000321,0.0678,0.2976,0.304,0.1661,0.395,0.2854,2026-06
CUST1000322,0.4494,0.5928,0.4346,0.0395,0.3876,0.2955,2026-06
CUST1000323,0.2507,0.7017,0.1528,0.2091,0.2866,0.303,2026-06
CUST1000324,0.2888,0.6338,0.0901,0.667,0.1203,0.4592,2026-06
CUST1000325,0.1326,0.4919,0.2631,0.2925,0.1318,0.2036,2026-06
CUST1000326,0.4828,0.4246,0.2659,0.1536,0.4655,0.01,2026-06
CUST1000327,0.3697,0.4501,0.3142,0.1187,0.438,0.4875,2026-06
CUST1000328,0.2912,0.2423,0.1787,0.4782,0.2716,0.1598,2026-06
CUST1000329,0.3657,0.6114000000000001,0.3343,0.2129,0.3426,0.3582,2026-06
CUST1000330,0.2804,0.2545,0.3099,0.5308,0.3449,0.0172,2026-06
