CustID,Month period,Average ticket size,Count,99% value,Total credit amount (sn),Total debit amount (sn),UPI txn count (sn),Salary credit flag (sn),MCC diversity count (sn),High value txn flag (sn),Most common channel (sn),Most common MCC (sn),Days since last txn (sn),Avg monthly balance proxy (sn)
CUST1000017,2026-06,2869.38,21,2943.14,9935.719999999999,12574.73,12,Y,3,N,BRANCH,4814,1,869637.72
CUST1000018,2026-06,11890.81,24,10089.5,31185.97,105048.39,8,N,3,N,INTERNET_BANKING,5812,16,458859.29
CUST1000019,2026-06,12089.23,14,10297.35,0,79823.33,0,Y,2,N,MOBILE_APP,8299,14,1052898.53
CUST1000020,2026-06,1681.43,19,1677.92,2897.78,3525.98,0,Y,2,N,INTERNET_BANKING,0000,0,371289.48
CUST1000021,2026-06,7883.6,45,2335.36,5140.68,151058.68,8,N,5,N,MOBILE_APP,5814,13,56159.43
CUST1000022,2026-06,1698.32,11,1282.26,4219.9,5662.91,3,Y,2,N,INTERNET_BANKING,8299,17,158486.01
CUST1000023,2026-06,2355.87,16,2365.15,15886.46,24605.28,3,N,4,N,MOBILE_APP,8299,8,113885.04
CUST1000024,2026-06,814.5,11,534.47,0,6186.54,3,N,2,N,UPI,5691,2,36564.38
CUST1000025,2026-06,2931.26,25,2182.44,0,44386,6,Y,4,N,MOBILE_APP,4814,0,565430.09
CUST1000026,2026-06,24782.19,8,24782.19,74006.53,0,4,Y,1,N,MOBILE_APP,5814,16,1377782.64
CUST1000027,2026-06,990.39,36,1132.54,3830.04,4787.62,24,N,4,N,UPI,6011,4,155176.19
CUST1000028,2026-06,2695.79,28,3698.15,13986.15,47328.95,10,N,4,N,MOBILE_APP,5411,6,359578.24
CUST1000029,2026-06,1416.6,14,843.9,0,12030.65,0,Y,2,N,MOBILE_APP,4814,17,813803.5600000001
CUST1000030,2026-06,2006.9,10,2006.9,7344.85,0,8,Y,1,N,ATM,5912,6,218433.7
CUST1000031,2026-06,4733.91,8,4733.91,0,15931.27,0,Y,1,N,MOBILE_APP,5814,27,2914601.3
CUST1000032,2026-06,6257,11,6257,0,17605.27,0,Y,1,N,ATM,0000,5,593898.76
CUST1000033,2026-06,2472.74,23,3482.49,2324.2,29883.92,5,N,4,N,MOBILE_APP,5812,2,601049.2
CUST1000034,2026-06,483.58,0,0,0,0,0,N,0,N,,,999,228851.28
CUST1000035,2026-06,3846.15,20,4139.62,15700.44,56075.09,8,N,4,N,MOBILE_APP,5814,0,134361.76
CUST1000036,2026-06,1819.34,28,2271.65,6348.56,19082.51,4,N,5,N,MOBILE_APP,5541,13,552656.0600000001
CUST1000037,2026-06,633.5599999999999,11,350.77,3667.34,0,0,N,2,N,MOBILE_APP,6011,26,376078.18
CUST1000038,2026-06,5261.25,21,2918.18,55986.18,2376.71,10,N,4,N,MOBILE_APP,4111,10,78594.84
CUST1000039,2026-06,1935.28,14,1419.98,0,6778.35,6,N,1,N,MOBILE_APP,8299,8,648838.25
CUST1000040,2026-06,14052.12,9,14052.12,0,40898.56,0,Y,1,N,MOBILE_APP,5541,21,2656453.07
CUST1000041,2026-06,3880.89,24,6359.04,28585.33,30852.08,12,Y,4,N,MOBILE_APP,8299,8,340581.31
CUST1000042,2026-06,16858.93,20,2833.46,5763.67,137153.68,0,Y,4,N,MOBILE_APP,5541,3,392496.49
CUST1000043,2026-06,1725.61,8,1194.05,6955.99,0,0,N,2,N,MOBILE_APP,5912,9,55420.22
CUST1000044,2026-06,26832.68,14,11230.7,316947.67,41978.57,3,N,4,N,MOBILE_APP,4814,5,1483637.83
CUST1000045,2026-06,1456.25,29,1121.03,1250.5,23538.13,12,Y,4,N,UPI,6011,9,27644.42
CUST1000046,2026-06,2320.82,12,1173.43,4322.5,12491.79,6,N,2,N,MOBILE_APP,5411,20,101780.38
CUST1000047,2026-06,80201.67,28,13868.66,1455660.85,131420.58,5,Y,5,N,MOBILE_APP,0000,4,1141612.39
CUST1000048,2026-06,9754.379999999999,44,4092.12,107792.05,46207.25,12,N,6,N,MOBILE_APP,4900,3,689089.91
CUST1000049,2026-06,5530.1,29,4001.19,9529.290000000001,45028.26,8,Y,3,N,MOBILE_APP,4814,12,577541.61
CUST1000050,2026-06,6522.7,31,7788.56,28845.51,58092.3,14,N,4,N,INTERNET_BANKING,4814,5,372052.96
CUST1000051,2026-06,1533.97,5,1533.97,0,7194.68,0,Y,1,N,MOBILE_APP,0000,5,132122.78
CUST1000052,2026-06,688.08,12,651.28,0,4384.65,4,Y,2,N,CALL_CENTER,4814,25,111343.36
CUST1000053,2026-06,15768.72,57,5144.95,192766.64,11802.82,32,Y,6,N,MOBILE_APP,5411,10,49915.39
CUST1000054,2026-06,392.15,20,309.92,0,5234.04,6,N,3,N,MOBILE_APP,0000,1,142486.71
CUST1000055,2026-06,9651.26,15,8192.58,0,50090.99,5,N,3,N,MOBILE_APP,4900,15,1501185.13
CUST1000056,2026-06,8740.280000000001,19,5473.41,12997.07,108801.45,3,N,5,N,MOBILE_APP,5912,1,951808.41
CUST1000057,2026-06,1413.23,16,923.46,0,24118.42,3,N,3,N,BRANCH,5541,8,109530.57
CUST1000058,2026-06,5087.84,23,2356.14,0,31716.25,6,Y,3,N,MOBILE_APP,5411,11,997657.92
CUST1000059,2026-06,4573.71,21,8059.05,2781.84,104730.96,3,Y,5,N,MOBILE_APP,4900,11,226517.1
CUST1000060,2026-06,856.6799999999999,45,1057.56,12626.97,968.77,8,Y,5,N,MOBILE_APP,5732,15,159635.48
CUST1000061,2026-06,2840.76,28,4083.76,0,26661.49,10,N,3,N,MOBILE_APP,7399,0,259475.14
CUST1000062,2026-06,1625.43,19,1258.92,6825.69,2840.18,10,Y,3,N,BRANCH,7399,7,728132.54
CUST1000063,2026-06,1431.78,13,624.53,0,9186.43,0,N,2,N,BRANCH,7399,3,212357.59
CUST1000064,2026-06,10416.29,30,17107,131329.47,26362.78,15,Y,4,N,MOBILE_APP,5912,5,448468.58
CUST1000065,2026-06,6102.33,11,2137.8,47051.39,0,3,N,2,N,UPI,5411,1,2705735.49
CUST1000066,2026-06,31636.69,18,51676.2,4774.69,395707.97,12,Y,4,N,POS,5814,3,883850.24
CUST1000067,2026-06,6752.66,16,11059.07,3021.31,72989.42,9,Y,5,N,UPI,4900,5,564256.1899999999
CUST1000068,2026-06,2263.14,11,2263.14,0,7940.75,0,N,1,N,MOBILE_APP,6513,28,249545.39
CUST1000069,2026-06,3429.05,29,3616.65,0,43254.99,0,N,3,N,ATM,5912,6,1210601.9
CUST1000070,2026-06,26124.33,41,6400.7,539491.49,86394.91,25,Y,6,N,INTERNET_BANKING,6513,4,941786.25
CUST1000071,2026-06,14525.37,20,7003.64,64326.78,10722.61,8,N,2,N,MOBILE_APP,8299,10,2466137.47
CUST1000072,2026-06,10599.61,24,7905.39,8569.52,163157.86,5,Y,4,N,MOBILE_APP,5814,8,1509057
CUST1000073,2026-06,73538.86,17,38280.75,0,697657.6800000001,12,Y,2,N,MOBILE_APP,4900,3,1956031.28
CUST1000074,2026-06,10558.3,34,3057.88,8777.299999999999,105076.26,0,Y,4,N,BRANCH,5411,4,448886.19
CUST1000075,2026-06,2072.68,9,212.72,15292.86,937.1799999999999,4,Y,2,N,MOBILE_APP,0000,1,301816.51
CUST1000076,2026-06,701.78,6,701.78,2080.54,0,3,Y,1,N,MOBILE_APP,4111,1,682853.88
CUST1000077,2026-06,11813.88,14,12023.32,31395.28,56744.44,3,Y,3,N,MOBILE_APP,4814,7,719098.83
CUST1000078,2026-06,58614.74,28,6913.17,758290.35,29925.81,12,Y,4,N,UPI,0000,5,1034200.21
CUST1000079,2026-06,2116.87,11,1100.2,0,13987.27,6,Y,3,N,POS,4900,14,469862.85
CUST1000080,2026-06,5821.41,16,2668.05,7503.41,59624.21,9,N,4,N,MOBILE_APP,5541,1,879299.55
CUST1000081,2026-06,1324.48,34,1150.2,3398.82,9435.469999999999,24,N,5,N,UPI,5411,2,91182.03999999999
CUST1000082,2026-06,4118.49,12,4035.08,12209.99,6219.86,4,N,2,N,UPI,6011,14,133105.97
CUST1000083,2026-06,14370.31,18,2027.76,0,64394.61,0,N,2,N,MOBILE_APP,4111,14,302513.35
CUST1000084,2026-06,7639.4,24,2972.17,0,69787,18,N,4,N,MOBILE_APP,4111,8,46807.56
CUST1000085,2026-06,1681.58,21,2638.87,7830.52,17249.2,0,N,3,N,ATM,4900,8,156908.78
CUST1000086,2026-06,1283.25,8,1283.25,0,5339.93,0,N,1,N,INTERNET_BANKING,5814,24,127491.69
CUST1000087,2026-06,2702.87,16,3416.76,15413.03,17808.68,8,N,3,N,MOBILE_APP,5732,0,642736.86
CUST1000088,2026-06,3284.29,33,4216.13,3651.15,35915.08,0,N,4,N,MOBILE_APP,5812,8,443751.41
CUST1000089,2026-06,3364.7,24,3735.48,14498.83,30093.03,6,N,4,N,UPI,5541,4,182651.44
CUST1000090,2026-06,386224.17,7,386224.17,1241896.96,0,0,Y,1,N,INTERNET_BANKING,0000,18,946075.39
CUST1000091,2026-06,15739.63,7,15739.63,27499.29,0,5,Y,1,N,MOBILE_APP,5411,13,1278286.58
CUST1000092,2026-06,46218.18,8,46218.18,0,187545.59,0,N,1,N,MOBILE_APP,7399,28,393531.65
CUST1000093,2026-06,141986.09,19,76959.19,636861.6899999999,253744.84,7,Y,2,N,INTERNET_BANKING,0000,4,263144.69
CUST1000094,2026-06,1946.63,22,2151.54,3206.3,9944.76,12,Y,2,N,BRANCH,8299,6,482330.39
CUST1000095,2026-06,1690.17,29,2344.18,5970.22,17414.48,12,N,3,N,MOBILE_APP,0000,10,711460.5
CUST1000096,2026-06,900.87,7,900.87,0,1729.99,0,N,1,N,POS,8299,18,448679.19
CUST1000097,2026-06,3187.36,4,3187.36,0,14543.57,4,N,1,N,MOBILE_APP,7399,5,430178.87
CUST1000098,2026-06,8366.809999999999,42,10867.63,2915.62,126117.55,8,Y,5,N,MOBILE_APP,5411,1,851705.85
CUST1000099,2026-06,8300.110000000001,7,8300.110000000001,0,32066.74,0,Y,1,N,MOBILE_APP,5732,25,830430.95
CUST1000100,2026-06,546.28,12,546.28,1349.1,0,8,Y,1,N,BRANCH,5812,27,502841.39
CUST1000101,2026-06,6206.82,25,9998,35746.53,43302.1,5,N,3,N,UPI,5814,3,263973.34
CUST1000102,2026-06,8721.219999999999,36,7634.13,0,213138.71,0,Y,4,N,MOBILE_APP,6011,2,2967159.83
CUST1000103,2026-06,1668.95,11,423.67,4620.57,1595.52,0,N,2,N,MOBILE_APP,7399,24,152345
CUST1000104,2026-06,3961.17,12,3830.41,17802.91,27076.59,4,Y,3,N,MOBILE_APP,5411,4,852680.27
CUST1000105,2026-06,4544.85,12,722.34,2019.92,13937.05,5,Y,2,N,MOBILE_APP,5814,7,434023.19
CUST1000106,2026-06,120489.02,28,14044.61,1377652.3,63978.87,0,Y,3,N,MOBILE_APP,4900,6,1906258.73
CUST1000107,2026-06,2803.52,10,986.5599999999999,20699.27,0,6,N,1,N,INTERNET_BANKING,6011,6,1598557.55
CUST1000108,2026-06,901.62,17,986.08,1815.73,6704.55,8,N,4,N,MOBILE_APP,5814,0,280813.85
CUST1000109,2026-06,42152.34,16,9007.34,406828.07,61296.84,3,Y,5,N,MOBILE_APP,5732,6,1009628.97
CUST1000110,2026-06,27833.48,16,695.3099999999999,209183.81,3494.49,5,Y,3,N,INTERNET_BANKING,0000,6,144431.54
CUST1000111,2026-06,6729.11,21,5690.35,12015.26,20166.84,8,Y,2,N,POS,4900,3,1044467.87
CUST1000112,2026-06,20050.59,30,7756.45,222820.7,16256.96,21,Y,3,N,MOBILE_APP,5541,13,128876.93
CUST1000113,2026-06,20835.41,16,11855.06,3017.74,104449.83,0,Y,3,N,MOBILE_APP,5812,2,1155820.17
CUST1000114,2026-06,2645.72,35,3837.23,0,52027.72,16,N,4,N,MOBILE_APP,5411,8,768256.26
CUST1000115,2026-06,6231.97,16,7714.61,27275.19,65006.47,3,Y,3,N,MOBILE_APP,4814,8,330335.85
CUST1000116,2026-06,579.34,21,448.12,0,6764.11,4,N,3,N,POS,8299,1,138623.13
CUST1000117,2026-06,115935.38,53,367091.09,796156.98,1265977.65,7,Y,5,N,MOBILE_APP,8299,5,1543896.26
CUST1000118,2026-06,628.99,14,297.35,1107.74,4503.66,14,N,2,N,MOBILE_APP,6011,19,173837.7
CUST1000119,2026-06,1644.32,20,1343.82,9339.33,0,0,N,3,N,ATM,4814,0,179295.92
CUST1000120,2026-06,2302.28,9,2087.58,12793.04,7400.77,3,N,3,N,INTERNET_BANKING,5814,17,817681.95
CUST1000121,2026-06,1797.82,66,2520.32,3711.67,30617.53,8,N,6,N,MOBILE_APP,7399,0,346212.78
CUST1000122,2026-06,1929.43,16,673.73,9238.379999999999,2665.81,8,N,2,N,MOBILE_APP,5691,2,378846.16
CUST1000123,2026-06,7540.12,25,2663.47,70260.94,0,0,N,3,N,UPI,5691,21,282772.46
CUST1000124,2026-06,268.57,0,0,0,0,0,N,0,N,,,999,222448.32
CUST1000125,2026-06,3277.42,7,1848.63,7216.12,3925.87,3,N,2,N,UPI,6011,20,1183599.84
CUST1000126,2026-06,15314.05,32,8170.39,324085.58,66885.06,8,Y,6,N,MOBILE_APP,0000,2,118604.84
CUST1000127,2026-06,867.9400000000001,28,1034.08,1054.99,10756.81,0,N,3,N,UPI,5541,9,249513.34
CUST1000128,2026-06,11572.94,25,8082.47,53555.69,128502.31,9,Y,4,N,INTERNET_BANKING,8299,0,971249.9
CUST1000129,2026-06,7968.05,10,2875.32,0,66873.13,0,Y,2,N,MOBILE_APP,5691,13,686861.8100000001
CUST1000130,2026-06,81111.85000000001,15,12497.81,632823.65,0,7,Y,2,N,BRANCH,6011,22,572835.26
CUST1000131,2026-06,11173.67,35,9541.74,22310.37,108738.15,16,Y,4,N,MOBILE_APP,5541,1,472193.17
CUST1000132,2026-06,3482.04,24,3374.76,8729.65,57726.53,0,Y,4,N,MOBILE_APP,4814,10,853262.39
CUST1000133,2026-06,2898.89,9,2898.89,0,6331.16,0,N,1,N,INTERNET_BANKING,0000,26,450368.98
CUST1000134,2026-06,2059.55,12,2059.55,0,8691.709999999999,0,N,1,N,MOBILE_APP,6513,2,979869.89
CUST1000135,2026-06,3125.45,18,3657.75,14506.43,25948.93,6,N,3,N,INTERNET_BANKING,0000,0,538117.58
CUST1000136,2026-06,3056.13,16,3543.14,16667.14,3818.78,4,N,3,N,MOBILE_APP,5691,8,986452.8100000001
CUST1000137,2026-06,1568.8,18,1418.86,5047.84,3031.39,0,N,2,N,MOBILE_APP,5691,5,1161366.14
CUST1000138,2026-06,12017.17,22,10909.58,12017.81,212063.7,15,N,4,N,MOBILE_APP,6011,5,1534763.54
CUST1000139,2026-06,1048.66,29,1062,0,18127.09,0,N,4,N,MOBILE_APP,4900,2,92741.36
CUST1000140,2026-06,5897.61,25,6623.45,25761.51,41426.89,0,N,3,N,UPI,5812,4,1256970.06
CUST1000141,2026-06,9249.120000000001,45,4505.35,183879.84,20093.67,15,Y,6,N,BRANCH,5732,2,141107.41
CUST1000142,2026-06,1219.3,13,677.63,0,9080.73,4,Y,2,N,UPI,5411,0,439896.02
CUST1000143,2026-06,94645.95,23,1961.74,1069385.32,7341.12,14,Y,3,N,MOBILE_APP,0000,17,1046286.48
CUST1000144,2026-06,169057.08,21,462708.42,1525326.78,1212647.29,3,Y,3,N,INTERNET_BANKING,6513,10,1930632.18
CUST1000145,2026-06,4047.4,22,4962.47,0,76322.64,5,Y,4,N,MOBILE_APP,5912,1,417445.73
CUST1000146,2026-06,233.36,0,0,0,0,0,N,0,N,,,999,81495.42999999999
CUST1000147,2026-06,92709.46000000001,30,13622.61,1084819.93,8953.51,10,Y,5,N,INTERNET_BANKING,4814,5,780541.39
CUST1000148,2026-06,781.74,16,635.3200000000001,8959.389999999999,0,4,N,3,N,MOBILE_APP,5541,10,111324.78
CUST1000149,2026-06,426.75,0,0,0,0,0,N,0,N,,,999,87510.31
CUST1000150,2026-06,743.4299999999999,12,1004.46,1623.03,7494.84,6,N,4,N,MOBILE_APP,4900,4,159986.76
CUST1000151,2026-06,480.01,0,0,0,0,0,N,0,N,,,999,279698.79
CUST1000152,2026-06,83446.13,14,2403.18,866721.88,10647.04,3,Y,3,N,INTERNET_BANKING,0000,23,242314.52
CUST1000153,2026-06,12724.6,25,3570.7,6254.91,70446.21000000001,7,N,2,N,ATM,5812,5,1291501.12
CUST1000154,2026-06,4864.52,25,4249.05,0,68108.37,10,N,4,N,UPI,7399,7,1879031.91
CUST1000155,2026-06,9476.25,32,11424.55,0,100991.9,0,Y,3,N,MOBILE_APP,6011,10,1746337.79
CUST1000156,2026-06,262406.63,14,39883.29,1325715.4,196562.74,0,Y,2,N,INTERNET_BANKING,0000,1,866973.14
CUST1000157,2026-06,13483.5,15,6008.13,0,57064.41,5,N,2,N,MOBILE_APP,4900,10,2125066.03
CUST1000158,2026-06,1786.37,6,1591.22,0,7302.34,6,N,2,N,MOBILE_APP,7399,11,236344.46
CUST1000159,2026-06,2718.74,47,1701.61,2969.77,69972.41,12,N,7,N,MOBILE_APP,4111,2,228301.93
CUST1000160,2026-06,3978.36,9,2604.16,28740.98,0,4,N,2,N,MOBILE_APP,6513,5,118069.34
CUST1000161,2026-06,49691.5,17,4159.39,160141.81,15290.5,0,Y,2,N,INTERNET_BANKING,0000,10,331528.25
CUST1000162,2026-06,26887.3,52,4451.56,0,766009.1,24,N,6,N,MOBILE_APP,4111,2,885362.6800000001
CUST1000163,2026-06,12478.58,15,1660.19,73012.89999999999,5898.8,0,Y,2,N,MOBILE_APP,6513,8,529429.51
CUST1000164,2026-06,6002.9,16,8199.549999999999,1533.32,44457.81,4,Y,3,N,UPI,5912,4,161170.13
CUST1000165,2026-06,37491.03,9,37491.03,90946.21000000001,0,0,Y,1,N,INTERNET_BANKING,5691,22,1221670.98
CUST1000166,2026-06,20156.1,18,1070.65,118574.38,4438.65,8,N,1,N,MOBILE_APP,5812,13,439160.22
CUST1000167,2026-06,88808.85000000001,16,130865.32,654591.01,0,0,Y,2,N,INTERNET_BANKING,0000,0,340978.77
CUST1000168,2026-06,58817.21,14,3408.14,272317.58,15515.72,0,Y,2,N,INTERNET_BANKING,6513,20,187136.55
CUST1000169,2026-06,6658.73,20,7251.34,7637.28,33318.06,0,N,3,N,MOBILE_APP,5732,3,681236.4
CUST1000170,2026-06,214209.11,10,16405.2,1554981.79,48598.26,3,Y,3,N,BRANCH,4900,1,1769367.5
CUST1000171,2026-06,5756.02,28,2135.19,50363.97,14783.59,6,N,4,N,MOBILE_APP,8299,10,340384.31
CUST1000172,2026-06,2433.02,35,3386.27,7235.11,19433.86,21,N,4,N,MOBILE_APP,4900,8,521103.55
CUST1000173,2026-06,2048.59,19,1887.13,0,19053.52,7,N,2,N,MOBILE_APP,5691,8,332129.37
CUST1000174,2026-06,1898.43,19,1780.68,0,9938.049999999999,7,N,2,N,INTERNET_BANKING,5732,2,666564.4300000001
CUST1000175,2026-06,385.68,0,0,0,0,0,N,0,N,,,999,592882.37
CUST1000176,2026-06,4709.86,8,4092.03,19947.73,12306.44,3,Y,2,N,MOBILE_APP,5912,1,877659.1
CUST1000177,2026-06,1259.9,21,964.72,3003.16,5976.15,12,N,2,N,MOBILE_APP,0000,17,177728.1
CUST1000178,2026-06,4177.34,32,4805.61,9168.33,33359.27,7,N,4,N,MOBILE_APP,7399,11,1468312.42
CUST1000179,2026-06,12724.84,14,10136.59,0,118898.48,8,N,3,N,INTERNET_BANKING,4814,5,239594.9
CUST1000180,2026-06,40339.71,25,92931.3,290449.03,54459.21,5,Y,4,N,INTERNET_BANKING,0000,2,321740.52
CUST1000181,2026-06,1146.22,10,1146.22,0,3474.32,5,Y,1,N,MOBILE_APP,5732,1,655216.74
CUST1000182,2026-06,10440.1,11,7907.48,0,60659.22,0,N,2,N,MOBILE_APP,4900,11,549240.25
CUST1000183,2026-06,8149.64,14,6143.82,7572.76,86341.21000000001,6,Y,3,N,CALL_CENTER,8299,7,896119.51
CUST1000184,2026-06,663.42,17,848.3200000000001,756.39,9977.32,9,N,4,N,MOBILE_APP,4111,4,50790.66
CUST1000185,2026-06,2639.2,26,2392.07,8478.700000000001,5101.73,0,N,2,N,INTERNET_BANKING,8299,17,144037.66
CUST1000186,2026-06,1212.88,28,1970.19,0,23292.54,14,Y,4,N,MOBILE_APP,6513,5,331188.75
CUST1000187,2026-06,4072.67,24,4001.73,26889.45,34211.69,8,N,5,N,MOBILE_APP,6011,1,695267.79
CUST1000188,2026-06,761.9,24,798.48,0,6934.49,0,Y,3,N,MOBILE_APP,4111,0,104984.25
CUST1000189,2026-06,655.03,10,655.03,0,1004.82,0,N,1,N,INTERNET_BANKING,6011,5,120693.25
CUST1000190,2026-06,1285.09,27,1324.74,2409.39,6298.27,0,N,2,N,MOBILE_APP,8299,1,152930.65
CUST1000191,2026-06,5642.09,6,5642.09,18561.46,0,6,N,1,N,MOBILE_APP,5812,21,249946.94
CUST1000192,2026-06,9151.16,24,5343.64,6863.64,45025.49,16,N,3,N,MOBILE_APP,5912,8,3233932.22
CUST1000193,2026-06,6799.99,22,6514.35,0,42526.4,12,Y,2,N,UPI,4900,1,847156.0699999999
CUST1000194,2026-06,3422.85,14,3153.52,17803.82,8567.51,3,N,3,N,MOBILE_APP,0000,17,1411379.8
CUST1000195,2026-06,928.88,26,942.29,4073.36,5488.71,5,Y,4,N,ATM,4111,1,128829.57
CUST1000196,2026-06,669.04,20,661.52,0,3888.26,10,N,2,N,MOBILE_APP,0000,0,256584.04
CUST1000197,2026-06,4324.66,22,4795.28,12038.31,50142.06,12,N,4,N,BRANCH,6513,1,292156.14
CUST1000198,2026-06,1816.62,15,314,0,7188.03,5,N,2,N,BRANCH,5812,0,93538.14
CUST1000199,2026-06,529.12,20,361.77,0,4515.91,0,N,2,N,BRANCH,8299,17,115790.42
CUST1000200,2026-06,15145.45,11,15145.45,0,37086.57,7,N,1,N,UPI,4111,11,768621.63
CUST1000201,2026-06,21111.64,8,844.7,0,105671.19,3,N,2,N,MOBILE_APP,4814,4,254411.09
CUST1000202,2026-06,129003.74,16,2684.95,453582.71,0,16,N,2,N,INTERNET_BANKING,6011,12,430239.83
CUST1000203,2026-06,11662.44,12,10734.37,0,162570.7,0,Y,3,N,INTERNET_BANKING,5541,4,961622.77
CUST1000204,2026-06,56726.09,33,11730.95,684716.95,54552.66,0,Y,4,N,MOBILE_APP,0000,17,1253725.68
CUST1000205,2026-06,2234.65,25,2008.33,1696.25,28102.05,7,Y,3,N,UPI,5541,14,358523.86
CUST1000206,2026-06,2384.26,18,2930.56,13932.79,7187.08,4,N,4,N,UPI,7399,8,1183274.08
CUST1000207,2026-06,860.76,12,378.03,2906.36,895.58,5,Y,2,N,UPI,4814,10,1484433.39
CUST1000208,2026-06,4552.43,33,6918.95,10613.99,104544.27,10,N,4,N,UPI,7399,6,1583862.06
CUST1000209,2026-06,599.51,21,692.8200000000001,570.6,5923.04,8,N,3,N,MOBILE_APP,5812,6,332914.21
CUST1000210,2026-06,1713.02,20,2113.51,5289.79,7755.34,5,N,3,N,UPI,5541,8,1079404.13
CUST1000211,2026-06,3726.89,32,3471.61,1603.83,30588.72,8,N,3,N,MOBILE_APP,4900,5,580195.91
CUST1000212,2026-06,24572.04,32,1437.97,339177.19,12013.27,0,Y,4,N,MOBILE_APP,5814,5,241907.8
CUST1000213,2026-06,2337.04,16,1305.1,22136,4263.38,5,N,3,N,MOBILE_APP,5411,17,75295.83
CUST1000214,2026-06,2874.36,15,1609.65,0,18527,5,N,2,N,MOBILE_APP,5691,6,320944.11
CUST1000215,2026-06,8002.97,33,14302.61,1147.75,213877.92,4,Y,5,N,MOBILE_APP,4111,6,461772.65
CUST1000216,2026-06,434.99,6,434.99,0,754.72,0,N,1,N,UPI,5812,24,113852.06
CUST1000217,2026-06,115630.22,37,34868.82,1457548.5,85978.56,8,Y,3,N,UPI,8299,0,321639.81
CUST1000218,2026-06,112.42,0,0,0,0,0,N,0,N,,,999,2841631.96
CUST1000219,2026-06,8455.459999999999,10,7481.92,67423.64999999999,0,0,N,2,N,MOBILE_APP,4814,19,2347062
CUST1000220,2026-06,75681.28,10,75681.28,245235.99,0,0,Y,1,N,INTERNET_BANKING,0000,28,277995.83
CUST1000221,2026-06,1642.54,19,2479.14,7766.09,20710.92,12,N,6,N,MOBILE_APP,4814,1,92645.38
CUST1000222,2026-06,394.63,23,413.48,612.05,2458.93,0,N,3,N,UPI,4111,7,175992.05
CUST1000223,2026-06,3388.18,18,1336.65,26955.74,0,0,N,2,N,MOBILE_APP,5912,13,734458.05
CUST1000224,2026-06,13536.35,13,12886.34,42824.05,26493.45,6,N,3,N,ATM,5732,1,125950.92
CUST1000225,2026-06,636.12,10,383.93,1549.53,1305.34,3,N,2,N,UPI,8299,6,423190.68
CUST1000226,2026-06,492.83,10,454.07,0,1848,0,N,2,N,UPI,5411,8,129260.48
CUST1000227,2026-06,1056,14,1053.02,0,4006.32,6,Y,2,N,MOBILE_APP,5691,9,562839.11
CUST1000228,2026-06,8099.74,19,8104.91,16438.72,92454.49000000001,3,Y,5,N,ATM,6513,4,3149714.94
CUST1000229,2026-06,1464.99,27,1316.04,1898.1,13721.49,8,N,3,N,MOBILE_APP,4111,8,337066.7
CUST1000230,2026-06,16978.19,12,11570.25,196798.36,0,8,N,3,N,MOBILE_APP,8299,8,320874.84
CUST1000231,2026-06,26327.79,36,8619.01,936355.15,76135.25,15,Y,7,N,MOBILE_APP,5732,0,688404.6800000001
CUST1000232,2026-06,483.08,0,0,0,0,0,N,0,N,,,999,242331.54
