CustID,Date of login,Days since last login (sn),Location,App details,Phone/device details,Login count 30D (sn),Login count 90D (sn),Last app version (sn),Preferred login hour (sn),Device OS (sn),Session ID latest (sn)
CUST1000014,2026-06-23,7,Coimbatore,Axis Mobile/Open App v12.1.2,Redmi Note 12,9,15,12.1.2,2,Android,SID50000014
CUST1000015,2026-05-27,34,Patna,Axis Mobile/Open App v11.4.0,Oppo Reno8,0,27,11.4.0,8,Android,SID50000015
CUST1000016,2026-05-29,32,Nagpur,Axis Mobile/Open App v12.0.0,iPhone 15,6,6,12.0.0,12,iOS,SID50000016
CUST1000017,2026-06-10,20,Jaipur,Axis Mobile/Open App v12.0.0,iPhone 15,14,28,12.0.0,23,iOS,SID50000017
CUST1000018,2026-03-23,99,Patna,Axis Mobile/Open App v11.4.0,Samsung Galaxy S23,1,10,11.4.0,14,Android,SID50000018
CUST1000019,2026-05-10,51,Chennai,Axis Mobile/Open App v11.4.0,Samsung Galaxy A54,1,24,11.4.0,13,Android,SID50000019
CUST1000020,2026-05-25,36,Lucknow,Axis Mobile/Open App v12.1.2,Samsung Galaxy S23,0,13,12.1.2,19,Android,SID50000020
CUST1000021,2026-03-17,105,Bhopal,Axis Mobile/Open App v11.2.0,Samsung Galaxy S23,2,41,11.2.0,20,Android,SID50000021
CUST1000022,2026-06-19,11,Pune,Axis Mobile/Open App v11.4.0,Samsung Galaxy S23,17,22,11.4.0,16,Android,SID50000022
CUST1000023,2026-03-14,108,Pune,Axis Mobile/Open App v12.0.0,Samsung Galaxy S23,3,3,12.0.0,14,Android,SID50000023
CUST1000024,2026-06-14,16,Nashik,Axis Mobile/Open App v11.4.0,iPhone 13,16,29,11.4.0,19,iOS,SID50000024
CUST1000025,2026-05-16,45,Surat,Axis Mobile/Open App v11.4.0,iPhone 15,4,12,11.4.0,21,iOS,SID50000025
CUST1000026,2026-04-20,71,Coimbatore,Axis Mobile/Open App v12.0.0,iPhone 15,0,26,12.0.0,12,iOS,SID50000026
CUST1000027,2026-03-13,109,Bhopal,Axis Mobile/Open App v11.3.1,iPhone 13,1,5,11.3.1,16,iOS,SID50000027
CUST1000028,2026-06-29,1,Mumbai,Axis Mobile/Open App v12.0.0,iPhone 13,16,18,12.0.0,23,iOS,SID50000028
CUST1000029,2026-06-19,11,Bhopal,Axis Mobile/Open App v12.1.2,iPhone 13,9,22,12.1.2,15,iOS,SID50000029
CUST1000030,2026-01-01,180,Lucknow,Axis Mobile/Open App v12.1.2,Samsung Galaxy S23,0,28,12.1.2,9,Android,SID50000030
CUST1000031,2026-03-31,91,Pune,Axis Mobile/Open App v11.3.1,Samsung Galaxy A54,0,14,11.3.1,14,Android,SID50000031
CUST1000032,2026-06-28,2,Coimbatore,Axis Mobile/Open App v11.3.1,Samsung Galaxy A54,1,34,11.3.1,17,Android,SID50000032
CUST1000033,2026-06-18,12,Patna,Axis Mobile/Open App v11.3.1,iPhone 13,0,0,11.3.1,13,iOS,SID50000033
CUST1000034,2026-01-24,157,Nagpur,Axis Mobile/Open App v11.2.0,iPhone 13,4,24,11.2.0,14,iOS,SID50000034
CUST1000035,2026-06-06,24,Delhi,Axis Mobile/Open App v11.3.1,Samsung Galaxy A54,23,50,11.3.1,20,Android,SID50000035
CUST1000036,2026-06-05,25,Coimbatore,Axis Mobile/Open App v11.4.0,Vivo V27,27,45,11.4.0,16,Android,SID50000036
CUST1000037,2026-04-21,70,Jaipur,Axis Mobile/Open App v11.3.1,iPhone 13,2,2,11.3.1,12,iOS,SID50000037
CUST1000038,2026-05-09,52,Delhi,Axis Mobile/Open App v11.3.1,Oppo Reno8,3,3,11.3.1,13,Android,SID50000038
CUST1000039,2026-01-01,180,Ahmedabad,Axis Mobile/Open App v12.1.2,Oppo Reno8,0,0,12.1.2,14,Android,SID50000039
CUST1000040,2026-06-11,19,Ahmedabad,Axis Mobile/Open App v11.2.0,OnePlus 11,9,25,11.2.0,16,Android,SID50000040
CUST1000041,2026-06-22,8,Jaipur,Axis Mobile/Open App v12.1.2,Vivo V27,16,57,12.1.2,18,Android,SID50000041
CUST1000042,2026-06-01,29,Hyderabad,Axis Mobile/Open App v11.2.0,iPhone 14,16,81,11.2.0,14,iOS,SID50000042
CUST1000043,2026-04-17,74,Nagpur,Axis Mobile/Open App v12.0.0,Vivo V27,0,8,12.0.0,14,Android,SID50000043
CUST1000044,2026-02-19,131,Bhopal,Axis Mobile/Open App v12.0.0,OnePlus 11,1,26,12.0.0,17,Android,SID50000044
CUST1000045,2026-06-10,20,Jaipur,Axis Mobile/Open App v12.0.0,Samsung Galaxy S23,16,34,12.0.0,21,Android,SID50000045
CUST1000046,2026-06-27,3,Jaipur,Axis Mobile/Open App v12.0.0,Oppo Reno8,16,38,12.0.0,20,Android,SID50000046
CUST1000047,2026-03-31,91,Hyderabad,Axis Mobile/Open App v11.4.0,iPhone 13,0,0,11.4.0,10,iOS,SID50000047
CUST1000048,2026-06-26,4,Patna,Axis Mobile/Open App v11.2.0,iPhone 15,10,32,11.2.0,18,iOS,SID50000048
CUST1000049,2026-05-06,55,Chennai,Axis Mobile/Open App v12.0.0,Samsung Galaxy A54,0,0,12.0.0,11,Android,SID50000049
CUST1000050,2026-06-24,6,Patna,Axis Mobile/Open App v11.3.1,Oppo Reno8,5,8,11.3.1,15,Android,SID50000050
CUST1000051,2026-06-15,15,Pune,Axis Mobile/Open App v11.3.1,Vivo V27,20,30,11.3.1,17,Android,SID50000051
CUST1000052,2026-05-27,34,Mumbai,Axis Mobile/Open App v12.0.0,Oppo Reno8,2,23,12.0.0,17,Android,SID50000052
CUST1000053,2026-06-01,29,Lucknow,Axis Mobile/Open App v12.1.2,OnePlus 11,15,60,12.1.2,23,Android,SID50000053
CUST1000054,2026-05-20,41,Jaipur,Axis Mobile/Open App v12.0.0,Samsung Galaxy A54,3,21,12.0.0,15,Android,SID50000054
CUST1000055,2026-06-26,4,Ahmedabad,Axis Mobile/Open App v12.1.2,Vivo V27,15,33,12.1.2,17,Android,SID50000055
CUST1000056,2026-05-14,47,Delhi,Axis Mobile/Open App v12.1.2,Redmi Note 12,1,15,12.1.2,10,Android,SID50000056
CUST1000057,2026-06-27,3,Nagpur,Axis Mobile/Open App v12.0.0,iPhone 13,25,78,12.0.0,23,iOS,SID50000057
CUST1000058,2026-03-30,92,Surat,Axis Mobile/Open App v12.0.0,Samsung Galaxy S23,5,5,12.0.0,15,Android,SID50000058
CUST1000059,2026-06-12,18,Mumbai,Axis Mobile/Open App v11.4.0,Vivo V27,30,53,11.4.0,23,Android,SID50000059
CUST1000060,2026-06-02,28,Pune,Axis Mobile/Open App v11.2.0,Samsung Galaxy S23,18,33,11.2.0,22,Android,SID50000060
CUST1000061,2026-05-15,46,Patna,Axis Mobile/Open App v11.4.0,OnePlus 11,0,18,11.4.0,14,Android,SID50000061
CUST1000062,2026-06-14,16,Surat,Axis Mobile/Open App v11.4.0,iPhone 13,0,0,11.4.0,13,iOS,SID50000062
CUST1000063,2026-05-08,53,Mumbai,Axis Mobile/Open App v11.4.0,Vivo V27,5,14,11.4.0,13,Android,SID50000063
CUST1000064,2026-06-16,14,Indore,Axis Mobile/Open App v11.4.0,iPhone 13,0,14,11.4.0,9,iOS,SID50000064
CUST1000065,2026-06-30,0,Pune,Axis Mobile/Open App v11.2.0,Vivo V27,14,30,11.2.0,18,Android,SID50000065
CUST1000066,2026-05-13,48,Delhi,Axis Mobile/Open App v11.4.0,iPhone 15,1,10,11.4.0,23,iOS,SID50000066
CUST1000067,2026-06-09,21,Lucknow,Axis Mobile/Open App v12.1.2,Redmi Note 12,16,52,12.1.2,23,Android,SID50000067
CUST1000068,2026-04-28,63,Jaipur,Axis Mobile/Open App v11.3.1,iPhone 14,0,20,11.3.1,15,iOS,SID50000068
CUST1000069,2026-06-30,0,Surat,Axis Mobile/Open App v11.3.1,Oppo Reno8,0,0,11.3.1,22,Android,SID50000069
CUST1000070,2026-06-25,5,Nagpur,Axis Mobile/Open App v12.1.2,OnePlus 11,4,6,12.1.2,23,Android,SID50000070
CUST1000071,2026-04-13,78,Ahmedabad,Axis Mobile/Open App v12.0.0,Oppo Reno8,0,10,12.0.0,16,Android,SID50000071
CUST1000072,2026-04-16,75,Chennai,Axis Mobile/Open App v11.4.0,OnePlus 11,0,22,11.4.0,23,Android,SID50000072
CUST1000073,2026-04-26,65,Hyderabad,Axis Mobile/Open App v11.3.1,Redmi Note 12,8,8,11.3.1,15,Android,SID50000073
CUST1000074,2026-05-24,37,Indore,Axis Mobile/Open App v11.4.0,Redmi Note 12,1,1,11.4.0,17,Android,SID50000074
CUST1000075,2026-05-27,34,Surat,Axis Mobile/Open App v11.3.1,Samsung Galaxy A54,0,4,11.3.1,14,Android,SID50000075
CUST1000076,2026-06-17,13,Jaipur,Axis Mobile/Open App v11.2.0,Vivo V27,0,6,11.2.0,16,Android,SID50000076
CUST1000077,2026-06-05,25,Chennai,Axis Mobile/Open App v11.3.1,iPhone 13,12,26,11.3.1,13,iOS,SID50000077
CUST1000078,2026-06-15,15,Chennai,Axis Mobile/Open App v12.0.0,iPhone 14,11,16,12.0.0,23,iOS,SID50000078
CUST1000079,2026-06-13,17,Surat,Axis Mobile/Open App v11.2.0,OnePlus 11,4,37,11.2.0,16,Android,SID50000079
CUST1000080,2026-06-23,7,Jaipur,Axis Mobile/Open App v12.1.2,iPhone 13,5,46,12.1.2,15,iOS,SID50000080
CUST1000081,2026-06-14,16,Coimbatore,Axis Mobile/Open App v11.3.1,Samsung Galaxy A54,17,29,11.3.1,12,Android,SID50000081
CUST1000082,2026-06-11,19,Patna,Axis Mobile/Open App v11.3.1,Vivo V27,2,19,11.3.1,15,Android,SID50000082
CUST1000083,2026-06-04,26,Hyderabad,Axis Mobile/Open App v12.1.2,Vivo V27,13,46,12.1.2,23,Android,SID50000083
CUST1000084,2026-06-20,10,Pune,Axis Mobile/Open App v11.3.1,Samsung Galaxy A54,15,42,11.3.1,18,Android,SID50000084
CUST1000085,2026-05-06,55,Nashik,Axis Mobile/Open App v12.0.0,Samsung Galaxy S23,2,21,12.0.0,20,Android,SID50000085
CUST1000086,2026-06-04,26,Mumbai,Axis Mobile/Open App v12.0.0,iPhone 13,12,46,12.0.0,18,iOS,SID50000086
CUST1000087,2026-06-29,1,Delhi,Axis Mobile/Open App v11.3.1,iPhone 14,12,33,11.3.1,22,iOS,SID50000087
CUST1000088,2026-06-25,5,Mumbai,Axis Mobile/Open App v11.2.0,Oppo Reno8,13,37,11.2.0,19,Android,SID50000088
CUST1000089,2026-04-24,67,Nagpur,Axis Mobile/Open App v12.1.2,Vivo V27,4,9,12.1.2,13,Android,SID50000089
CUST1000090,2026-06-21,9,Chennai,Axis Mobile/Open App v11.2.0,OnePlus 11,11,34,11.2.0,12,Android,SID50000090
CUST1000091,2026-04-21,70,Bengaluru,Axis Mobile/Open App v12.1.2,Samsung Galaxy S23,4,10,12.1.2,9,Android,SID50000091
CUST1000092,2026-05-20,41,Ahmedabad,Axis Mobile/Open App v12.1.2,Vivo V27,0,11,12.1.2,18,Android,SID50000092
CUST1000093,2026-06-13,17,Indore,Axis Mobile/Open App v12.1.2,iPhone 15,26,40,12.1.2,10,iOS,SID50000093
CUST1000094,2026-06-06,24,Lucknow,Axis Mobile/Open App v12.1.2,iPhone 15,8,13,12.1.2,11,iOS,SID50000094
CUST1000095,2026-05-21,40,Hyderabad,Axis Mobile/Open App v11.4.0,Samsung Galaxy A54,5,38,11.4.0,18,Android,SID50000095
CUST1000096,2026-06-30,0,Chennai,Axis Mobile/Open App v12.1.2,Samsung Galaxy A54,10,10,12.1.2,15,Android,SID50000096
CUST1000097,2026-05-03,58,Bengaluru,Axis Mobile/Open App v12.1.2,Samsung Galaxy A54,0,10,12.1.2,14,Android,SID50000097
CUST1000098,2026-06-14,16,Mumbai,Axis Mobile/Open App v11.4.0,iPhone 14,10,50,11.4.0,20,iOS,SID50000098
CUST1000099,2026-04-07,84,Bhopal,Axis Mobile/Open App v12.0.0,iPhone 15,4,25,12.0.0,19,iOS,SID50000099
CUST1000100,2026-05-04,57,Patna,Axis Mobile/Open App v11.4.0,Oppo Reno8,0,16,11.4.0,23,Android,SID50000100
CUST1000101,2026-04-22,69,Patna,Axis Mobile/Open App v11.4.0,iPhone 15,2,24,11.4.0,17,iOS,SID50000101
CUST1000102,2026-06-12,18,Ahmedabad,Axis Mobile/Open App v12.0.0,OnePlus 11,0,0,12.0.0,10,Android,SID50000102
CUST1000103,2026-06-04,26,Chennai,Axis Mobile/Open App v12.0.0,iPhone 15,10,23,12.0.0,7,iOS,SID50000103
CUST1000104,2026-05-26,35,Surat,Axis Mobile/Open App v12.1.2,OnePlus 11,0,12,12.1.2,10,Android,SID50000104
CUST1000105,2026-06-22,8,Lucknow,Axis Mobile/Open App v12.0.0,iPhone 15,2,13,12.0.0,16,iOS,SID50000105
CUST1000106,2026-04-12,79,Delhi,Axis Mobile/Open App v11.4.0,Redmi Note 12,1,18,11.4.0,16,Android,SID50000106
CUST1000107,2026-05-14,47,Lucknow,Axis Mobile/Open App v12.0.0,Samsung Galaxy S23,0,0,12.0.0,15,Android,SID50000107
CUST1000108,2026-06-30,0,Jaipur,Axis Mobile/Open App v12.0.0,iPhone 13,16,63,12.0.0,17,iOS,SID50000108
CUST1000109,2026-06-21,9,Chennai,Axis Mobile/Open App v12.1.2,iPhone 14,31,67,12.1.2,22,iOS,SID50000109
CUST1000110,2026-06-05,25,Patna,Axis Mobile/Open App v12.0.0,OnePlus 11,0,12,12.0.0,5,Android,SID50000110
CUST1000111,2026-04-15,76,Ahmedabad,Axis Mobile/Open App v12.1.2,iPhone 14,2,6,12.1.2,7,iOS,SID50000111
CUST1000112,2026-05-02,59,Ahmedabad,Axis Mobile/Open App v11.2.0,Samsung Galaxy S23,3,27,11.2.0,15,Android,SID50000112
CUST1000113,2026-05-31,30,Ahmedabad,Axis Mobile/Open App v12.0.0,Redmi Note 12,0,0,12.0.0,18,Android,SID50000113
CUST1000114,2026-05-22,39,Patna,Axis Mobile/Open App v11.3.1,Vivo V27,3,30,11.3.1,20,Android,SID50000114
CUST1000115,2026-06-18,12,Patna,Axis Mobile/Open App v11.3.1,Redmi Note 12,7,7,11.3.1,20,Android,SID50000115
CUST1000116,2026-05-11,50,Indore,Axis Mobile/Open App v12.0.0,Samsung Galaxy S23,3,22,12.0.0,8,Android,SID50000116
CUST1000117,2026-06-27,3,Mumbai,Axis Mobile/Open App v12.1.2,iPhone 15,4,24,12.1.2,19,iOS,SID50000117
CUST1000118,2026-01-01,180,Patna,Axis Mobile/Open App v11.2.0,Samsung Galaxy A54,0,0,11.2.0,19,Android,SID50000118
CUST1000119,2026-02-16,134,Pune,Axis Mobile/Open App v11.4.0,iPhone 15,0,10,11.4.0,19,iOS,SID50000119
CUST1000120,2026-01-04,177,Surat,Axis Mobile/Open App v12.1.2,iPhone 13,0,0,12.1.2,21,iOS,SID50000120
CUST1000121,2026-06-21,9,Patna,Axis Mobile/Open App v12.1.2,Samsung Galaxy S23,21,53,12.1.2,19,Android,SID50000121
CUST1000122,2026-06-06,24,Coimbatore,Axis Mobile/Open App v11.2.0,Oppo Reno8,5,23,11.2.0,12,Android,SID50000122
CUST1000123,2026-01-01,180,Nagpur,Axis Mobile/Open App v11.3.1,OnePlus 11,4,10,11.3.1,12,Android,SID50000123
CUST1000124,2026-06-27,3,Ahmedabad,Axis Mobile/Open App v11.2.0,OnePlus 11,8,43,11.2.0,12,Android,SID50000124
CUST1000125,2026-06-14,16,Surat,Axis Mobile/Open App v11.2.0,iPhone 15,12,22,11.2.0,20,iOS,SID50000125
CUST1000126,2026-05-31,30,Pune,Axis Mobile/Open App v11.4.0,iPhone 13,9,44,11.4.0,23,iOS,SID50000126
CUST1000127,2026-06-22,8,Hyderabad,Axis Mobile/Open App v11.3.1,iPhone 15,9,17,11.3.1,16,iOS,SID50000127
CUST1000128,2026-05-13,48,Chennai,Axis Mobile/Open App v11.4.0,iPhone 15,5,27,11.4.0,17,iOS,SID50000128
CUST1000129,2026-06-28,2,Pune,Axis Mobile/Open App v11.4.0,Oppo Reno8,15,50,11.4.0,22,Android,SID50000129
CUST1000130,2026-06-03,27,Chennai,Axis Mobile/Open App v12.0.0,Samsung Galaxy S23,9,20,12.0.0,13,Android,SID50000130
CUST1000131,2026-06-10,20,Hyderabad,Axis Mobile/Open App v11.2.0,Redmi Note 12,0,33,11.2.0,14,Android,SID50000131
CUST1000132,2026-06-07,23,Bengaluru,Axis Mobile/Open App v12.0.0,OnePlus 11,20,48,12.0.0,19,Android,SID50000132
CUST1000133,2026-03-23,99,Coimbatore,Axis Mobile/Open App v11.4.0,Samsung Galaxy S23,0,16,11.4.0,22,Android,SID50000133
CUST1000134,2026-06-27,3,Hyderabad,Axis Mobile/Open App v11.3.1,Oppo Reno8,0,6,11.3.1,20,Android,SID50000134
CUST1000135,2026-05-06,55,Bengaluru,Axis Mobile/Open App v11.4.0,iPhone 14,3,8,11.4.0,16,iOS,SID50000135
CUST1000136,2026-04-02,89,Hyderabad,Axis Mobile/Open App v12.1.2,Vivo V27,0,26,12.1.2,10,Android,SID50000136
CUST1000137,2026-06-20,10,Nashik,Axis Mobile/Open App v12.0.0,iPhone 15,0,0,12.0.0,19,iOS,SID50000137
CUST1000138,2026-05-03,58,Patna,Axis Mobile/Open App v11.4.0,OnePlus 11,5,28,11.4.0,16,Android,SID50000138
CUST1000139,2026-06-12,18,Pune,Axis Mobile/Open App v11.2.0,OnePlus 11,10,15,11.2.0,21,Android,SID50000139
CUST1000140,2026-04-02,89,Delhi,Axis Mobile/Open App v11.2.0,Samsung Galaxy S23,1,14,11.2.0,23,Android,SID50000140
CUST1000141,2026-06-02,28,Mumbai,Axis Mobile/Open App v11.4.0,Vivo V27,0,15,11.4.0,11,Android,SID50000141
CUST1000142,2026-05-21,40,Patna,Axis Mobile/Open App v12.0.0,iPhone 15,1,29,12.0.0,12,iOS,SID50000142
CUST1000143,2026-06-13,17,Hyderabad,Axis Mobile/Open App v11.3.1,Samsung Galaxy S23,8,18,11.3.1,12,Android,SID50000143
CUST1000144,2026-06-20,10,Chennai,Axis Mobile/Open App v11.4.0,Vivo V27,11,33,11.4.0,15,Android,SID50000144
CUST1000145,2026-05-06,55,Delhi,Axis Mobile/Open App v11.3.1,Oppo Reno8,1,1,11.3.1,14,Android,SID50000145
CUST1000146,2026-05-25,36,Nashik,Axis Mobile/Open App v12.1.2,Samsung Galaxy A54,0,23,12.1.2,16,Android,SID50000146
CUST1000147,2026-05-02,59,Bengaluru,Axis Mobile/Open App v12.1.2,Samsung Galaxy A54,0,57,12.1.2,16,Android,SID50000147
CUST1000148,2026-05-27,34,Surat,Axis Mobile/Open App v12.0.0,iPhone 14,5,14,12.0.0,21,iOS,SID50000148
CUST1000149,2026-06-30,0,Ahmedabad,Axis Mobile/Open App v11.3.1,iPhone 14,8,21,11.3.1,9,iOS,SID50000149
CUST1000150,2026-06-26,4,Bhopal,Axis Mobile/Open App v11.4.0,Samsung Galaxy S23,3,3,11.4.0,16,Android,SID50000150
CUST1000151,2026-06-16,14,Nagpur,Axis Mobile/Open App v11.2.0,Oppo Reno8,5,34,11.2.0,20,Android,SID50000151
CUST1000152,2026-05-25,36,Lucknow,Axis Mobile/Open App v12.0.0,Oppo Reno8,0,2,12.0.0,15,Android,SID50000152
CUST1000153,2026-01-26,155,Jaipur,Axis Mobile/Open App v11.3.1,OnePlus 11,0,15,11.3.1,23,Android,SID50000153
CUST1000154,2026-01-01,180,Nashik,Axis Mobile/Open App v12.1.2,iPhone 14,1,1,12.1.2,16,iOS,SID50000154
CUST1000155,2026-05-13,48,Nagpur,Axis Mobile/Open App v12.1.2,iPhone 13,0,44,12.1.2,19,iOS,SID50000155
CUST1000156,2026-05-08,53,Hyderabad,Axis Mobile/Open App v11.2.0,Samsung Galaxy S23,0,15,11.2.0,11,Android,SID50000156
CUST1000157,2026-05-07,54,Mumbai,Axis Mobile/Open App v11.3.1,Redmi Note 12,0,43,11.3.1,16,Android,SID50000157
CUST1000158,2026-01-01,180,Bengaluru,Axis Mobile/Open App v11.4.0,OnePlus 11,0,3,11.4.0,18,Android,SID50000158
CUST1000159,2026-06-24,6,Coimbatore,Axis Mobile/Open App v11.3.1,Oppo Reno8,26,40,11.3.1,12,Android,SID50000159
CUST1000160,2026-01-03,178,Ahmedabad,Axis Mobile/Open App v11.4.0,Oppo Reno8,0,16,11.4.0,16,Android,SID50000160
CUST1000161,2026-06-30,0,Pune,Axis Mobile/Open App v12.0.0,Samsung Galaxy A54,34,53,12.0.0,20,Android,SID50000161
CUST1000162,2026-06-19,11,Surat,Axis Mobile/Open App v11.4.0,iPhone 15,7,28,11.4.0,15,iOS,SID50000162
CUST1000163,2026-06-10,20,Chennai,Axis Mobile/Open App v11.2.0,Vivo V27,4,9,11.2.0,12,Android,SID50000163
CUST1000164,2026-03-21,101,Bengaluru,Axis Mobile/Open App v11.3.1,iPhone 15,0,26,11.3.1,13,iOS,SID50000164
CUST1000165,2026-02-26,124,Jaipur,Axis Mobile/Open App v12.0.0,iPhone 15,0,12,12.0.0,14,iOS,SID50000165
CUST1000166,2026-05-18,43,Pune,Axis Mobile/Open App v11.2.0,iPhone 13,0,39,11.2.0,23,iOS,SID50000166
CUST1000167,2026-06-21,9,Chennai,Axis Mobile/Open App v11.4.0,iPhone 15,20,58,11.4.0,17,iOS,SID50000167
CUST1000168,2026-05-11,50,Patna,Axis Mobile/Open App v12.1.2,Samsung Galaxy A54,1,35,12.1.2,15,Android,SID50000168
CUST1000169,2026-01-19,162,Lucknow,Axis Mobile/Open App v11.2.0,Samsung Galaxy A54,2,6,11.2.0,17,Android,SID50000169
CUST1000170,2026-05-05,56,Chennai,Axis Mobile/Open App v12.0.0,Samsung Galaxy A54,0,17,12.0.0,13,Android,SID50000170
CUST1000171,2026-06-12,18,Mumbai,Axis Mobile/Open App v11.2.0,iPhone 13,3,30,11.2.0,16,iOS,SID50000171
CUST1000172,2026-06-05,25,Hyderabad,Axis Mobile/Open App v11.3.1,iPhone 15,6,28,11.3.1,19,iOS,SID50000172
CUST1000173,2026-06-07,23,Mumbai,Axis Mobile/Open App v11.3.1,Oppo Reno8,7,36,11.3.1,18,Android,SID50000173
CUST1000174,2026-06-09,21,Bengaluru,Axis Mobile/Open App v11.3.1,Samsung Galaxy S23,1,17,11.3.1,13,Android,SID50000174
CUST1000175,2026-05-26,35,Delhi,Axis Mobile/Open App v11.4.0,OnePlus 11,3,15,11.4.0,16,Android,SID50000175
CUST1000176,2026-05-14,47,Chennai,Axis Mobile/Open App v12.0.0,Oppo Reno8,0,12,12.0.0,14,Android,SID50000176
CUST1000177,2026-06-29,1,Chennai,Axis Mobile/Open App v11.3.1,iPhone 14,4,15,11.3.1,14,iOS,SID50000177
CUST1000178,2026-05-12,49,Chennai,Axis Mobile/Open App v11.3.1,Vivo V27,0,11,11.3.1,21,Android,SID50000178
CUST1000179,2026-04-12,79,Hyderabad,Axis Mobile/Open App v12.0.0,iPhone 14,1,4,12.0.0,10,iOS,SID50000179
CUST1000180,2026-05-11,50,Nagpur,Axis Mobile/Open App v12.0.0,iPhone 14,0,23,12.0.0,12,iOS,SID50000180
CUST1000181,2026-05-22,39,Hyderabad,Axis Mobile/Open App v11.3.1,Redmi Note 12,4,20,11.3.1,18,Android,SID50000181
CUST1000182,2026-05-25,36,Indore,Axis Mobile/Open App v12.0.0,Vivo V27,3,26,12.0.0,15,Android,SID50000182
CUST1000183,2026-03-18,104,Mumbai,Axis Mobile/Open App v12.0.0,iPhone 14,0,17,12.0.0,16,iOS,SID50000183
CUST1000184,2026-04-20,71,Coimbatore,Axis Mobile/Open App v12.0.0,Samsung Galaxy A54,2,45,12.0.0,10,Android,SID50000184
CUST1000185,2026-06-30,0,Bengaluru,Axis Mobile/Open App v11.2.0,Samsung Galaxy A54,10,25,11.2.0,12,Android,SID50000185
CUST1000186,2026-06-20,10,Hyderabad,Axis Mobile/Open App v12.1.2,Samsung Galaxy S23,6,24,12.1.2,11,Android,SID50000186
CUST1000187,2026-03-04,118,Pune,Axis Mobile/Open App v11.2.0,Vivo V27,5,16,11.2.0,17,Android,SID50000187
CUST1000188,2026-06-10,20,Ahmedabad,Axis Mobile/Open App v11.4.0,OnePlus 11,3,9,11.4.0,12,Android,SID50000188
CUST1000189,2026-06-29,1,Lucknow,Axis Mobile/Open App v12.0.0,Redmi Note 12,17,41,12.0.0,14,Android,SID50000189
CUST1000190,2026-05-01,60,Mumbai,Axis Mobile/Open App v11.2.0,iPhone 15,0,0,11.2.0,14,iOS,SID50000190
CUST1000191,2026-05-14,47,Nagpur,Axis Mobile/Open App v11.3.1,Oppo Reno8,2,26,11.3.1,11,Android,SID50000191
CUST1000192,2026-05-25,36,Bengaluru,Axis Mobile/Open App v12.1.2,Redmi Note 12,2,29,12.1.2,9,Android,SID50000192
CUST1000193,2026-06-19,11,Chennai,Axis Mobile/Open App v12.0.0,iPhone 13,7,31,12.0.0,17,iOS,SID50000193
CUST1000194,2026-04-26,65,Indore,Axis Mobile/Open App v12.0.0,iPhone 15,2,21,12.0.0,16,iOS,SID50000194
CUST1000195,2026-02-09,141,Nagpur,Axis Mobile/Open App v11.2.0,Samsung Galaxy S23,0,17,11.2.0,21,Android,SID50000195
CUST1000196,2026-03-08,114,Indore,Axis Mobile/Open App v11.2.0,Samsung Galaxy S23,0,0,11.2.0,17,Android,SID50000196
CUST1000197,2026-04-12,79,Mumbai,Axis Mobile/Open App v12.1.2,iPhone 14,8,28,12.1.2,21,iOS,SID50000197
