dataset,cluster_id,feature_type,feature,mean,min,p25,median,p75,max,mode_or_top_value,top_value_share,dataset_role,source_label,note,raw_customer_count
Syn_01,0,numeric,digital_Login count 30D (sn),12.794045076613656,0.0,9.0,14.0,17.0,120.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,digital_Login count 90D (sn),38.25018142611292,0.0,32.0,37.0,43.0,360.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,digital_Preferred login hour (sn),18.42138547347032,0.0,16.0,19.0,22.0,23.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,txn_99% value,23752.93073586432,0.0,7124.43,16149.85,32210.3,1961184.82,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,txn_Average ticket size,9770.178185531528,100.0,3189.08,7026.22,13423.35,668668.88,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,txn_Avg monthly balance proxy (sn),621639.8034721848,9926.81,210543.37,399356.36,750181.48,80000000.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,txn_Count,24.174728897551265,0.0,20.0,25.0,30.0,56.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,txn_Days since last txn (sn),69.77575732443135,0.0,2.0,6.0,13.0,999.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,txn_MCC diversity count (sn),3.868502353355865,0.0,2.0,4.0,5.0,15.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,txn_Most common MCC (sn),4533.171201839121,0.0,4111.0,5411.0,5812.0,6011.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,txn_Total credit amount (sn),159302.16136245828,0.0,40366.37,116583.67,235174.76,9608743.13,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,txn_Total debit amount (sn),133105.90660370316,0.0,37072.05,88669.59,181502.92,7571176.44,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,numeric,txn_UPI txn count (sn),13.15689730245288,0.0,10.0,13.0,17.0,37.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,product_holding_rate,CC,0.485599950237409,0.0,0.0,0.0,1.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,product_holding_rate,HL,0.0489124800431275,0.0,0.0,0.0,0.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,product_holding_rate,MF,0.1834788197972174,0.0,0.0,0.0,0.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,product_holding_rate,PL,0.2151817371291131,0.0,0.0,0.0,0.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,product_holding_rate,RD,0.1813017064421821,0.0,0.0,0.0,0.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,0,product_holding_rate,SA,0.9558771693379502,0.0,1.0,1.0,1.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,categorical,City,,,,,,,Surat,0.0699517238016287,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,categorical,Gender,,,,,,,M,0.5282830253084313,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,categorical,Income band (sn),,,,,,,Affluent,0.7540595894084947,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,categorical,Lifestage,,,,,,,Married_kids,0.4852489393865509,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,categorical,Occupation,,,,,,,SAL,0.6231774516018921,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,categorical,Persona,,,,,,,Value_Seeker-Family,0.2169746915687326,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,categorical,Preferred channel (sn),,,,,,,Mobile App,0.5026332471838885,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,categorical,Tier Map,,,,,,,Tier 2,0.4431657482810747,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,Age,39.5428634124933,18.0,32.0,39.0,46.0,78.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,Campaign exposure count 90D (sn),1.4383137465255766,0.0,1.0,1.0,2.0,87.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,Days since last login (sn),22.51063051640903,0.0,6.0,16.0,33.0,103.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,Mobile no.,9000122137.912176,9000000018.0,9000063844.0,9000124465.0,9000181358.25,9000235635.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,Monthly income proxy (sn),207869.0375725362,13532.0,144677.75,196267.0,254796.75,2630746.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,Products ignored count 90D (sn),0.3721168381528258,0.0,0.0,0.0,1.0,38.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,Risk profile score,794.0789486516799,564.0,761.0,792.0,827.0,900.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,digital_Days since last login (sn),22.51063051640903,0.0,6.0,16.0,33.0,103.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,digital_Login count 30D (sn),9.131637977276052,0.0,0.0,10.0,14.0,120.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,digital_Login count 90D (sn),31.02091968596089,0.0,23.0,30.0,37.0,375.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,digital_Preferred login hour (sn),16.638952552786854,0.0,14.0,17.0,20.0,23.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,txn_99% value,46001.862980933336,0.0,17839.0825,34472.655,61425.085,3982498.43,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,txn_Average ticket size,18884.869424586726,177.46,7985.09,14935.745,25208.63,1985786.88,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,txn_Avg monthly balance proxy (sn),1180241.996915931,28242.83,473380.1025,830874.86,1416559.53,80000000.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,txn_Count,26.08833569025211,0.0,22.0,27.0,31.0,61.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,txn_Days since last txn (sn),41.81594089822988,0.0,2.0,5.0,11.0,999.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,txn_MCC diversity count (sn),4.172307017116107,0.0,3.0,4.0,6.0,16.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,txn_Most common MCC (sn),4523.1721978077485,0.0,4111.0,5411.0,5812.0,6011.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,txn_Total credit amount (sn),322786.13869288535,0.0,139529.325,276320.44,442708.0775,24631581.52,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,txn_Total debit amount (sn),266900.80552762473,0.0,98908.155,198488.355,356140.91500000004,21757994.39,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,numeric,txn_UPI txn count (sn),11.919076412932167,0.0,8.0,12.0,15.0,41.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,product_holding_rate,CC,0.4183937192178281,0.0,0.0,0.0,1.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,product_holding_rate,HL,0.0944311698444433,0.0,0.0,0.0,0.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,product_holding_rate,MF,0.2896084263909884,0.0,0.0,0.0,1.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,product_holding_rate,PL,0.1840347198517579,0.0,0.0,0.0,0.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,product_holding_rate,RD,0.2374067391622372,0.0,0.0,0.0,0.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,1,product_holding_rate,SA,0.9599161262008096,0.0,1.0,1.0,1.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,categorical,City,,,,,,,Chennai,0.0826528459939132,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,categorical,Gender,,,,,,,M,0.5179136408834785,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,categorical,Income band (sn),,,,,,,HNI,0.898213155753759,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,categorical,Lifestage,,,,,,,Married_kids,0.5247536686051767,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,categorical,Occupation,,,,,,,SAL,0.4157652092686895,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,categorical,Persona,,,,,,,Mass_Affluent-Investor,0.5544038328261066,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,categorical,Preferred channel (sn),,,,,,,Mobile App,0.3838551239943351,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,categorical,Tier Map,,,,,,,Tier 2,0.3936782475065538,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,Age,42.64666887636725,18.0,36.0,43.0,49.0,78.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,Campaign exposure count 90D (sn),1.6409738753126224,0.0,1.0,1.0,2.0,90.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,Days since last login (sn),49.417121161900745,0.0,14.0,36.0,72.0,180.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,Mobile no.,9000117415.26881,9000000003.0,9000058751.0,9000116867.0,9000175620.0,9000235636.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,Monthly income proxy (sn),579530.410582457,59439.0,387604.0,501285.0,666278.0,14484022.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,Products ignored count 90D (sn),0.5500647844035315,0.0,0.0,0.0,1.0,42.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,Risk profile score,739.3347997709947,455.0,692.0,740.0,786.0,900.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,digital_Days since last login (sn),49.417121161900745,0.0,14.0,36.0,72.0,180.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,digital_Login count 30D (sn),4.681562057432127,0.0,0.0,0.0,9.0,116.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,digital_Login count 90D (sn),21.00012052912285,0.0,12.0,22.0,30.0,366.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,digital_Preferred login hour (sn),15.070238346340435,0.0,12.0,15.0,19.0,23.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,txn_99% value,280861.5894600295,0.0,107164.365,176118.83,298758.37,44678698.34,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,txn_Average ticket size,112370.17171000694,266.66,47150.265,73029.44,119339.435,11859029.73,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,txn_Avg monthly balance proxy (sn),4113727.9350525807,131306.81,1782720.965,2941757.56,4809626.005,80000000.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,txn_Count,28.19754723235001,0.0,24.0,28.0,33.0,57.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,txn_Days since last txn (sn),8.294422514840148,0.0,2.0,5.0,10.0,999.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,txn_MCC diversity count (sn),4.427275740500798,0.0,3.0,4.0,6.0,17.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,txn_Most common MCC (sn),4525.097650004525,0.0,4111.0,5411.0,5812.0,6011.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,txn_Total credit amount (sn),1599901.4033627626,0.0,676874.55,1065889.88,1718287.165,329246283.58,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,txn_Total debit amount (sn),1718968.7467170882,0.0,630445.495,1051816.95,1823897.265,273398858.27,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,numeric,txn_UPI txn count (sn),10.961310151565373,0.0,7.0,10.0,14.0,37.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,product_holding_rate,CC,0.3984090155783891,0.0,0.0,0.0,1.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,product_holding_rate,HL,0.1100732214421309,0.0,0.0,0.0,0.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,product_holding_rate,MF,0.4170307650586073,0.0,0.0,0.0,1.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,product_holding_rate,PL,0.1645523849700183,0.0,0.0,0.0,0.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,product_holding_rate,RD,0.2510621628951095,0.0,0.0,0.0,1.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,2,product_holding_rate,SA,0.9580558652484408,0.0,1.0,1.0,1.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,categorical,City,,,,,,,Jaipur,0.0701222513140539,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,categorical,Gender,,,,,,,M,0.5294013425989724,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,categorical,Income band (sn),,,,,,,Mass,0.4110478965293226,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,categorical,Lifestage,,,,,,,Married_kids,0.5576707285863338,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,categorical,Occupation,,,,,,,SAL,0.3196448609169833,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,categorical,Persona,,,,,,,Value_Seeker-Family,0.2479477134476445,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,categorical,Preferred channel (sn),,,,,,,Mobile App,0.3514380770517944,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,categorical,Tier Map,,,,,,,Tier 2,0.4724688465854282,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,Age,47.7336653739394,18.0,41.0,47.0,54.0,78.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,Campaign exposure count 90D (sn),1.7555367442959229,0.0,1.0,1.0,2.0,90.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,Days since last login (sn),28.34590625430636,0.0,10.0,24.0,44.0,90.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,Mobile no.,9000113985.28543,9000000004.0,9000054772.0,9000112053.0,9000172011.0,9000235631.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,Monthly income proxy (sn),137673.5467842589,11273.0,65811.0,108490.0,184320.0,6641141.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,Products ignored count 90D (sn),0.6935055219796444,0.0,0.0,0.0,1.0,46.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,Risk profile score,688.1010886469674,410.0,649.0,692.0,729.0,900.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,digital_Days since last login (sn),28.34590625430636,0.0,10.0,24.0,44.0,90.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,digital_Login count 30D (sn),5.476543890387227,0.0,0.0,4.0,10.0,120.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,digital_Login count 90D (sn),23.1590841978857,0.0,16.0,22.0,29.0,358.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,digital_Preferred login hour (sn),14.350749059983857,0.0,11.0,14.0,18.0,23.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,txn_99% value,23195.02974348879,0.0,4784.28,14249.57,31454.55,781851.64,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,txn_Average ticket size,9559.33481977282,127.2,2142.99,6134.2,13135.36,377429.84,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,txn_Avg monthly balance proxy (sn),718537.9201443,7739.66,211263.8,418403.51,836111.94,80000000.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,txn_Count,19.23336023780932,0.0,15.0,21.0,26.0,53.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,txn_Days since last txn (sn),155.4994980018505,0.0,3.0,9.0,22.0,999.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,txn_MCC diversity count (sn),3.131405397956572,0.0,1.0,3.0,5.0,16.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,txn_Most common MCC (sn),4553.911239326102,0.0,4111.0,5411.0,5812.0,6011.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,txn_Total credit amount (sn),126509.07379471228,0.0,18077.98,73449.67,184183.66,5333249.89,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,txn_Total debit amount (sn),114852.81894344154,0.0,20756.19,66582.41,156703.45,6924929.18,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,numeric,txn_UPI txn count (sn),6.775498553064157,0.0,3.0,7.0,10.0,27.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,product_holding_rate,CC,0.2559206252337736,0.0,0.0,0.0,1.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,product_holding_rate,HL,0.0717168336712798,0.0,0.0,0.0,0.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,product_holding_rate,MF,0.182294229974211,0.0,0.0,0.0,0.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,product_holding_rate,PL,0.1028013465362127,0.0,0.0,0.0,0.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,product_holding_rate,RD,0.2519046400377975,0.0,0.0,0.0,1.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,3,product_holding_rate,SA,0.9595645412130638,0.0,1.0,1.0,1.0,1.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,4,categorical,City,,,,,,,Surat,0.071206169067365,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,4,categorical,Gender,,,,,,,M,0.5239924341626655,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,4,categorical,Income band (sn),,,,,,,Affluent,0.5166593918230759,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,4,categorical,Lifestage,,,,,,,Married_kids,0.4474901789611523,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,4,categorical,Occupation,,,,,,,SAL,0.4095445947912119,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,4,categorical,Persona,,,,,,,Value_Seeker-Family,0.2352102429797759,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,4,categorical,Preferred channel (sn),,,,,,,Branch,0.3432853193656336,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,4,categorical,Tier Map,,,,,,,Tier 2,0.4595664193219845,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,4,numeric,Age,43.13577768077986,18.0,36.0,43.0,51.0,78.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,4,numeric,Campaign exposure count 90D (sn),1.8057325767496,0.0,1.0,1.0,2.0,90.0,,,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
