dataset,feature_group,feature,method,lower_cap,upper_cap,values_capped_low,values_capped_high,min_before,max_before,min_after,max_after,dataset_role,source_label,note,raw_customer_count
Syn_01,transaction_behavior,txn_Most common MCC (sn),iqr,1559.5,8363.5,31592,0,0.0,6011.0,1559.5,6011.0,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,transaction_behavior,txn_Days since last txn (sn),iqr,-14.5,29.5,0,23129,0.0,999.0,0.0,29.5,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_01,transaction_behavior,txn_Avg monthly balance proxy (sn),iqr,-1593769.485,3556973.515,0,20048,7739.66,80000000.0,7739.66,3556973.515,Large synthetic iteration 1,LLM synthetic dataset 1,Generated larger synthetic dataset.,235637
Syn_02,customer_numeric_profile,Age,iqr,7.5,75.5,0,499,21.0,78.0,21.0,75.5,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,customer_numeric_profile,Monthly income proxy (sn),iqr,-187989.25,581960.75,0,6556,15003.0,3982322.0,15003.0,581960.75,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,customer_numeric_profile,Risk profile score,iqr,467.5,1015.5,861,0,410.0,900.0,467.5,900.0,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,customer_numeric_profile,Days since last login (sn),iqr,-25.0,167.0,0,804,11.0,180.0,11.0,167.0,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,customer_numeric_profile,Campaign exposure count 90D (sn),iqr,-0.5,3.5,0,9054,0.0,9.0,0.0,3.5,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,customer_numeric_profile,Products ignored count 90D (sn),iqr,-1.5,2.5,0,5677,0.0,7.0,0.0,2.5,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,customer_numeric_profile,Mobile no.,iqr,3997109779.875,11999616832.875,0,0,6000012477.0,9999996447.0,6000012477.0,9999996447.0,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,digital_behavior,digital_Days since last login (sn),iqr,-25.0,167.0,0,804,11.0,180.0,11.0,167.0,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,digital_behavior,digital_Login count 30D (sn),iqr,-19.5,32.5,0,17,0.0,36.0,0.0,32.5,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,digital_behavior,digital_Login count 90D (sn),iqr,-49.0,103.0,0,0,0.0,95.0,0.0,95.0,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,digital_behavior,digital_Preferred login hour (sn),iqr,-12.0,36.0,0,0,0.0,23.0,0.0,23.0,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,transaction_behavior,txn_Average ticket size,iqr,-178508.86625000002,308633.08375,0,8577,0.0,3339041.4,0.0,308633.08375,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,transaction_behavior,txn_Count,iqr,-48.0,88.0,0,0,0.0,84.0,0.0,84.0,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,transaction_behavior,txn_99% value,iqr,-121042.49749999995,208929.1825,0,9366,0.0,2128473.65,0.0,208929.1825,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,transaction_behavior,txn_Total credit amount (sn),iqr,-6212007.255000001,10548529.165,0,13869,0.0,206402865.35,0.0,10548529.165,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,transaction_behavior,txn_Total debit amount (sn),iqr,-3282419.9250000003,5502984.155,0,12672,0.0,95440064.42,0.0,5502984.155,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,transaction_behavior,txn_UPI txn count (sn),iqr,-9.0,15.0,0,3580,0.0,31.0,0.0,15.0,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,transaction_behavior,txn_MCC diversity count (sn),iqr,-6.5,13.5,0,0,0.0,11.0,0.0,11.0,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,transaction_behavior,txn_Most common MCC (sn),iqr,1409.5,8613.5,30571,0,0.0,8299.0,1409.5,8299.0,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,transaction_behavior,txn_Days since last txn (sn),iqr,-12.5,47.5,0,30583,3.0,999.0,3.0,47.5,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_02,transaction_behavior,txn_Avg monthly balance proxy (sn),iqr,-1197467.25,2776702.75,0,7708,14125.0,26487578.0,14125.0,2776702.75,Large synthetic iteration 2,LLM synthetic dataset 2,Generated larger synthetic dataset.,135640
Syn_03,customer_numeric_profile,Age,iqr,4.5,72.5,0,67,18.0,78.0,18.0,72.5,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,customer_numeric_profile,Monthly income proxy (sn),iqr,-186623.625,573517.375,0,868,15042.0,1200000.0,15042.0,573517.375,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,customer_numeric_profile,Risk profile score,iqr,517.0,925.0,67,0,410.0,900.0,517.0,900.0,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,customer_numeric_profile,Days since last login (sn),iqr,-62.0,130.0,0,884,0.0,180.0,0.0,130.0,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,customer_numeric_profile,Campaign exposure count 90D (sn),iqr,-3.0,5.0,0,0,0.0,5.0,0.0,5.0,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,customer_numeric_profile,Products ignored count 90D (sn),iqr,-1.5,2.5,0,1193,0.0,5.0,0.0,2.5,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,customer_numeric_profile,Mobile no.,iqr,8508566690.25,10497188754.25,0,0,9000007933.0,9999959538.0,9000007933.0,9999959538.0,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,digital_behavior,digital_Days since last login (sn),iqr,-62.0,130.0,0,884,0.0,180.0,0.0,130.0,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,digital_behavior,digital_Login count 30D (sn),iqr,-12.5,23.5,0,265,0.0,38.0,0.0,23.5,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,digital_behavior,digital_Login count 90D (sn),iqr,-25.0,71.0,0,87,0.0,95.0,0.0,71.0,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,digital_behavior,digital_Preferred login hour (sn),iqr,2.5,30.5,9,0,0.0,23.0,2.5,23.0,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,transaction_behavior,txn_Average ticket size,iqr,-10361.407499999998,21106.4725,0,2131,0.09,1533263.62,0.09,21106.4725,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,transaction_behavior,txn_Count,iqr,-13.0,51.0,0,439,0.0,100.0,0.0,51.0,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,transaction_behavior,txn_99% value,iqr,-6740.688750000001,14152.64125,0,1419,0.0,1533263.62,0.0,14152.64125,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,transaction_behavior,txn_Total credit amount (sn),iqr,-40974.693750000006,68291.15625,0,2393,0.0,8717048.53,0.0,68291.15625,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,transaction_behavior,txn_Total debit amount (sn),iqr,-57378.03375000002,106103.21625000004,0,1463,0.0,2443889.92,0.0,106103.21625000004,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,transaction_behavior,txn_UPI txn count (sn),iqr,-12.0,20.0,0,641,0.0,56.0,0.0,20.0,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,transaction_behavior,txn_MCC diversity count (sn),iqr,-1.0,7.0,0,115,0.0,11.0,0.0,7.0,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,transaction_behavior,txn_Most common MCC (sn),iqr,3382.0,7430.0,1575,945,0.0,8299.0,3382.0,7430.0,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,transaction_behavior,txn_Days since last txn (sn),iqr,-13.0,27.0,0,849,0.0,999.0,0.0,27.0,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_03,transaction_behavior,txn_Avg monthly balance proxy (sn),iqr,-809742.1599999999,1932490.8,0,918,9616.77,8079911.19,9616.77,1932490.8,Original 15k baseline,Original 15k dataset copied into Syn_03,"Grok was not able to generate a good synthetic dataset for this iteration, so I copied the original 15k dataset into Syn_03.",15000
Syn_04,customer_numeric_profile,Age,iqr,3.5,71.5,0,374,12.0,104.0,12.0,71.5,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,customer_numeric_profile,Monthly income proxy (sn),iqr,-67926.20655860583,206286.7295053909,0,8006,10000.0,49902310.24795916,10000.0,206286.7295053909,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,customer_numeric_profile,Risk profile score,iqr,-2.0,6.0,0,0,1.0,4.0,1.0,4.0,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,customer_numeric_profile,Days since last login (sn),iqr,-51.5,96.5,0,1839,0.0,999.0,0.0,96.5,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,customer_numeric_profile,Campaign exposure count 90D (sn),iqr,-1.0,7.0,0,1510,0.0,50.0,0.0,7.0,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,customer_numeric_profile,Products ignored count 90D (sn),iqr,-3.0,5.0,0,76,0.0,8.0,0.0,5.0,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,customer_numeric_profile,Mobile no.,iqr,9899937500.5,9900187498.5,0,0,9900000000.0,9900124999.0,9900000000.0,9900124999.0,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,digital_behavior,digital_Days since last login (sn),iqr,-36.5,71.5,0,9592,0.0,89.0,0.0,71.5,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,digital_behavior,digital_Login count 30D (sn),iqr,-6.5,21.5,0,0,1.0,14.0,1.0,14.0,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,digital_behavior,digital_Login count 90D (sn),iqr,-16.0,56.0,0,0,1.0,39.0,1.0,39.0,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,digital_behavior,digital_Preferred login hour (sn),iqr,-10.5,33.5,0,0,0.0,23.0,0.0,23.0,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,transaction_behavior,txn_Average ticket size,iqr,-2427.9936696534883,6424.131305157769,0,8581,100.62337980686134,2381344.6022997373,100.62337980686134,6424.131305157769,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,transaction_behavior,txn_Count,iqr,-2.4104657899828688,68.64627947398972,0,1067,1.836788262879556,105.0,1.836788262879556,68.64627947398972,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,transaction_behavior,txn_99% value,iqr,-8775.901938333038,22493.88104147589,0,9038,221.41891726215016,10496827.051917031,221.41891726215016,22493.88104147589,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,transaction_behavior,txn_Total credit amount (sn),iqr,-35500.71441517738,86891.18062156485,0,10498,322.4227612055247,72997002.45847814,322.4227612055247,86891.18062156485,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,transaction_behavior,txn_Total debit amount (sn),iqr,-53251.07162276607,130336.77093234728,0,10498,483.63414180828704,109495503.68771718,483.63414180828704,130336.77093234728,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,transaction_behavior,txn_UPI txn count (sn),iqr,-10.993205984645911,39.59454668956112,0,2074,0.4538852329261767,76.43575974409856,0.4538852329261767,39.59454668956112,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,transaction_behavior,txn_MCC diversity count (sn),iqr,-3.0,13.0,0,0,1.0,9.0,1.0,9.0,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,transaction_behavior,txn_Days since last txn (sn),iqr,-15.5,44.5,0,0,0.0,29.0,0.0,29.0,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
Syn_04,transaction_behavior,txn_Avg monthly balance proxy (sn),iqr,-144343.24164173933,375456.8032492364,0,8707,5014.418895626147,140617672.68440965,5014.418895626147,375456.8032492364,Large synthetic iteration 4,LLM synthetic dataset 4,Generated larger synthetic dataset.,125000
